名前,pokeID,dexID,育て方,ブースト,種族値,ランク,実数値
マグマッグ,258,185,準速,くだけるよろい,20,2,144
ハヤシガメ,434,288,最速,スカーフ,36,0,144
ハハコモリ,600,396,準速,,92,0,144
ワルビアル,614,406,準速,,92,0,144
ドラミドロ,771,492,準速,スカーフ,44,0,144
ウデッポウ,772,493,準速,スカーフ,44,0,144
デンヂムシ,830,531,最速,スカーフ,36,0,144
アブリボン,839,540,無振,,124,0,144
ハギギシリ,879,566,準速,,92,0,144
カムカメ,936,585,準速,スカーフ,44,0,144
ホゲータ,1024,654,最速,スカーフ,36,0,144
エクスレッグ,1036,666,準速,,92,0,144
イキリンコ(グリーンフェザー),1048,678,準速,,92,0,144
カメックス,8,8,最速,,78,0,143
オーダイル,196,135,最速,,78,0,143
ヤミカラス,235,166,準速,,91,0,143
ネオラント,505,339,準速,,91,0,143
ロトム(通常),527,357,準速,,91,0,143
ランドロス(れいじゅうフォルム),718,462,準速,,91,0,143
オンバーン,804,511,無振,,123,0,143
イダイトウ(オスのすがた),1015,645,最速,,78,0,143
イダイトウ(メスのすがた),1016,646,最速,,78,0,143
マスカーニャ,1023,653,無振,,123,0,143
ナカヌチャン,1078,705,最速,,78,0,143
ゼニガメ,6,6,準速,スカーフ,43,0,142
ピカチュウ,26,11,準速,,90,0,142
ピッピ,39,18,最速,スカーフ,35,0,142
モルフォン,55,30,準速,,90,0,142
ディグダ(アローラのすがた),57,32,準速,,90,0,142
ニャース(原種),60,35,準速,,90,0,142
ウインディ(ヒスイのすがた),72,45,準速,,90,0,142
ニョロモ,73,46,準速,,90,0,142
ニョロゾ,74,47,準速,,90,0,142
ゴローン(原種),89,56,最速,スカーフ,35,0,142
ゴローン(アローラのすがた),90,57,最速,スカーフ,35,0,142
ドガース,136,90,最速,スカーフ,35,0,142
ファイヤー(原種),180,119,準速,,90,0,142
ファイヤー(ガラルのすがた),181,120,準速,,90,0,142
ワニノコ,194,133,準速,スカーフ,43,0,142
オオタチ,198,137,準速,,90,0,142
メリープ,215,147,最速,スカーフ,35,0,142
ヌオー,232,163,最速,スカーフ,35,0,142
バルキー,277,199,最速,スカーフ,35,0,142
バルキー,277,199,最速,ふくつのこころ,35,1,142
ポチエナ,302,216,最速,スカーフ,35,0,142
ポチエナ,302,216,最速,はやあし,35,1,142
ポチエナ,302,216,最速,びびり,35,1,142
キノココ,328,231,最速,スカーフ,35,0,142
キノココ,328,231,最速,はやあし,35,1,142
ヤルキモノ,331,234,準速,,90,0,142
ドンメル,365,249,最速,スカーフ,35,0,142
サボネア,374,257,最速,スカーフ,35,0,142
ザングース,378,261,準速,,90,0,142
ヘイガニ,384,265,最速,スカーフ,35,0,142
カイオーガ,425,284,準速,,90,0,142
グラードン,426,285,準速,,90,0,142
ミカルゲ,490,327,最速,スカーフ,35,0,142
ルカリオ,496,333,準速,,90,0,142
ポリゴンZ,522,352,準速,,90,0,142
ディアルガ(通常),536,366,準速,,90,0,142
ディアルガ(オリジンフォルム),537,367,準速,,90,0,142
ギラティナ(アナザーフォルム),542,371,準速,,90,0,142
ギラティナ(オリジンフォルム),543,372,準速,,90,0,142
ドッコラー,590,391,最速,スカーフ,35,0,142
ドレディア(原種),607,400,準速,,90,0,142
ゴビット,691,443,最速,スカーフ,35,0,142
ゲッコウガ(通常),735,472,無振,,122,0,142
コフキムシ,742,476,最速,スカーフ,35,0,142
ニャヒート,819,520,準速,,90,0,142
クワガノン,831,532,準速,スカーフ,43,0,142
ケケンカニ,833,534,準速,スカーフ,43,0,142
ドヒドイデ,847,546,最速,スカーフ,35,0,142
バンバドロ,849,548,最速,スカーフ,35,0,142
カリキリ,852,551,最速,スカーフ,35,0,142
シロデスナ,869,562,最速,スカーフ,35,0,142
ジメレオン,920,578,準速,,90,0,142
グルトン,1030,660,最速,スカーフ,35,0,142
ワナイダー,1034,664,最速,スカーフ,35,0,142
ジオヅム,1053,680,最速,スカーフ,35,0,142
キョジオーン,1054,681,最速,スカーフ,35,0,142
カルボウ,1055,682,最速,スカーフ,35,0,142
アノホラグサ,1067,694,準速,,90,0,142
ブロロローム,1087,713,準速,,90,0,142
カラミンゴ,1094,720,準速,,90,0,142
アルクジラ,1095,721,準速,スカーフ,43,0,142
ヘイラッシャ,1098,724,最速,スカーフ,35,0,142
コノヨザル,1102,728,準速,,90,0,142
スリープ,119,79,準速,スカーフ,42,0,141
カラナクシ,470,313,最速,スカーフ,34,0,141
フカマル,491,328,準速,スカーフ,42,0,141
ヒードラン,540,370,最速,,77,0,141
クルミル,598,394,準速,スカーフ,42,0,141
クルマユ,599,395,準速,スカーフ,42,0,141
トルネロス(れいじゅうフォルム),712,458,無振,,121,0,141
ビビヨン,744,478,準速,,89,0,141
フラベベ,747,481,準速,スカーフ,42,0,141
モクロー,814,515,準速,スカーフ,42,0,141
オニシズクモ,851,550,準速,スカーフ,42,0,141
ヤトウモリ,856,553,最速,,77,0,141
アオガラス,925,583,最速,,77,0,141
マホミル,972,610,最速,スカーフ,34,0,141
モトトカゲ,1088,714,無振,,121,0,141
ボチ,1092,718,最速,スカーフ,34,0,141
ダグトリオ(原種),58,33,無振,,120,0,140
エビワラー,134,89,最速,,76,0,140
ジュカイン,295,209,無振,,120,0,140
パルキア(オリジンフォルム),539,369,無振,,120,0,140
アルセウス,550,376,無振,,120,0,140
シママ,580,387,最速,,76,0,140
ドリュウズ,588,390,準速,,88,0,140
メテノ(コア),874,563,無振,,120,0,140
インテレオン,921,579,無振,,120,0,140
オオニューラ,1017,647,無振,,120,0,140
ウミトリオ,1081,708,無振,,120,0,140
ドードー,105,66,最速,,75,0,139
マルマイン(原種),125,83,最遅,,150,0,139
マルマイン(ヒスイのすがた),126,84,最遅,,150,0,139
サワムラー,133,88,準速,,87,0,139
デリバード,266,189,最速,,75,0,139
ドーブル,276,198,最速,,75,0,139
ヨーギラス,287,204,準速,スカーフ,41,0,139
ドータクン,485,324,最速,スカーフ,33,0,139
チラーミィ,640,413,最速,,75,0,139
シキジカ,653,423,最速,,75,0,139
フラージェス,749,483,最速,,75,0,139
クレッフィ,789,504,最速,,75,0,139
ケララッパ,825,526,最速,,75,0,139
エースバーン,918,576,無振,,119,0,139
ストリンダー(ハイなすがた),952,599,最速,,75,0,139
ストリンダー(ローなすがた),953,600,最速,,75,0,139
タイレーツ,974,612,最速,,75,0,139
ワッカネズミ,1040,670,最速,,75,0,139
オリーニョ,1046,676,最速,スカーフ,33,0,139
グレンアルマ,1056,683,最速,,75,0,139
シルシュルー,1064,691,最速,,75,0,139
ガケガニ,1070,697,最速,,75,0,139
スコヴィラン,1072,699,最速,,75,0,139
ヒラヒナ,1075,702,最速,,75,0,139
ナミイルカ,1083,710,最速,,75,0,139
イダイナキバ,1108,733,準速,,87,0,139
セグレイブ,1122,747,準速,,87,0,139
トドロクツキ,1130,754,無振,,119,0,139
サンド(原種),29,14,準速,スカーフ,40,0,138
サンド(アローラのすがた),30,15,準速,スカーフ,40,0,138
クサイハナ,50,27,準速,スカーフ,40,0,138
マダツボミ,82,49,準速,スカーフ,40,0,138
シェルダー,113,74,準速,スカーフ,40,0,138
タマタマ,127,85,準速,スカーフ,40,0,138
サイドン,140,94,準速,スカーフ,40,0,138
ポリゴン,169,113,準速,スカーフ,40,0,138
アリアドス,204,141,準速,スカーフ,40,0,138
マリル,219,151,準速,スカーフ,40,0,138
フォレトス,243,172,準速,スカーフ,40,0,138
ヒメグマ,256,183,準速,スカーフ,40,0,138
ヒメグマ,256,183,準速,はやあし,40,1,138
ゴマゾウ,272,194,準速,スカーフ,40,0,138
ミズゴロウ,299,213,準速,スカーフ,40,0,138
ラルトス,323,226,準速,スカーフ,40,0,138
ゴクリン,359,247,準速,スカーフ,40,0,138
バクーダ,366,250,準速,スカーフ,40,0,138
ポッチャマ,439,293,準速,スカーフ,40,0,138
ビークイン,464,309,準速,スカーフ,40,0,138
スカンプー,482,321,最速,,74,0,138
ヒポポタス,497,334,最速,スカーフ,32,0,138
ユキカブリ,507,340,準速,スカーフ,40,0,138
ドサイドン,512,344,準速,スカーフ,40,0,138
ダイノーズ,524,354,準速,スカーフ,40,0,138
ロトム(ヒート),528,358,準速,,86,0,138
ロトム(ウォッシュ),529,359,準速,,86,0,138
ロトム(フロスト),530,360,準速,,86,0,138
ロトム(スピン),531,361,準速,,86,0,138
ロトム(カット),532,362,準速,,86,0,138
ドテッコツ,591,392,準速,スカーフ,40,0,138
ワルビル,613,405,最速,,74,0,138
シビビール,671,430,準速,スカーフ,40,0,138
クマシュン,681,438,準速,スカーフ,40,0,138
クマシュン,681,438,準速,びびり,40,1,138
ルチャブル,781,496,無振,,118,0,138
ヌメラ,784,499,準速,スカーフ,40,0,138
ヌメイル(ヒスイのすがた),786,501,準速,スカーフ,40,0,138
アシマリ,821,522,準速,スカーフ,40,0,138
アマカジ,860,555,最速,スカーフ,32,0,138
カジリガメ,937,586,最速,,74,0,138
エレズン,951,598,準速,スカーフ,40,0,138
エレズン,951,598,準速,びびり,40,1,138
ゾウドウ,984,621,準速,スカーフ,40,0,138
キラフロル,1091,717,準速,,86,0,138
カミッチュ,1138,760,準速,スカーフ,40,0,138
ゴルダック,66,39,準速,,85,0,137
シードラ,145,97,準速,,85,0,137
フリーザー(原種),176,115,準速,,85,0,137
エイパム,226,158,準速,,85,0,137
ムウマ,238,169,準速,,85,0,137
キリンリキ,241,170,準速,,85,0,137
グライガー,245,174,準速,,85,0,137
ハリーセン(原種),249,177,準速,,85,0,137
ハリーセン(ヒスイのすがた),250,178,準速,,85,0,137
ヘラクロス,253,180,準速,,85,0,137
キングドラ,271,193,準速,,85,0,137
オドシシ,275,197,準速,,85,0,137
キャモメ,321,224,準速,,85,0,137
バルビート,356,245,準速,,85,0,137
イルミーゼ,357,246,準速,,85,0,137
ブイゼル,466,311,準速,,85,0,137
ドクロッグ,502,337,準速,,85,0,137
クレセリア,544,373,準速,,85,0,137
ダイケンキ(ヒスイのすがた),561,386,準速,,85,0,137
テールナー,731,468,最速,,73,0,137
カラマネロ,767,490,最速,,73,0,137
エンニュート,857,554,無振,,117,0,137
ジャラランガ,884,569,準速,,85,0,137
ゴリランダー,915,573,準速,,85,0,137
ウッウ,948,595,準速,,85,0,137
イエッサン(メスのすがた),982,619,準速,,85,0,137
ジュラルドン,990,623,準速,,85,0,137
ザシアン(けんのおう),995,628,最遅,,148,0,137
バサギリ,1012,642,準速,,85,0,137
ハリーマン,1018,648,準速,,85,0,137
ウェーニバル,1029,659,準速,,85,0,137
パモット,1038,668,準速,,85,0,137
ソウブレイズ,1057,684,準速,,85,0,137
マフィティフ,1063,690,準速,,85,0,137
ハルクジラ,1096,722,最速,,73,0,137
ナエトル,433,287,最速,スカーフ,31,0,136
トリトドン,471,314,準速,スカーフ,39,0,136
スカタンク,483,322,準速,,84,0,136
ゼブライカ,581,388,無振,,116,0,136
エルフーン,605,398,無振,,116,0,136
ヒノヤコマ,740,474,準速,,84,0,136
シシコ,745,479,最速,,72,0,136
アブリー,838,539,準速,,84,0,136
アマージョ,862,557,最速,,72,0,136
ミブリム,960,603,準速,スカーフ,39,0,136
ダクマ,1000,632,最速,,72,0,136
オリーヴァ,1047,677,準速,スカーフ,39,0,136
テツノイバラ,1119,744,最速,,72,0,136
サーフゴー,1125,749,準速,,84,0,136
テツノブジン,1131,755,無振,,116,0,136
ナゾノクサ,49,26,最速,スカーフ,30,0,135
ペルシアン(原種),63,36,無振,,115,0,135
ペルシアン(アローラのすがた),64,37,無振,,115,0,135
ヤドラン(原種),99,62,最速,スカーフ,30,0,135
ヤドラン(ガラルのすがた),100,63,最速,スカーフ,30,0,135
カビゴン,175,114,最速,スカーフ,30,0,135
イトマル,203,140,最速,スカーフ,30,0,135
ウソッキー,221,153,最速,スカーフ,30,0,135
ウソッキー,221,153,最速,びびり,30,1,135
ヒマナッツ,227,159,最速,スカーフ,30,0,135
キマワリ,228,160,最速,スカーフ,30,0,135
ヤドキング(原種),236,167,最速,スカーフ,30,0,135
ヤドキング(ガラルのすがた),237,168,最速,スカーフ,30,0,135
ブルー,247,175,最速,スカーフ,30,0,135
ブルー,247,175,最速,びびり,30,1,135
ニューラ(原種),254,181,無振,,115,0,135
ニューラ(ヒスイのすがた),255,182,無振,,115,0,135
マグカルゴ,259,186,最速,スカーフ,30,0,135
ブビィ,281,202,準速,,83,0,135
ハスボー,313,218,最速,スカーフ,30,0,135
タネボー,316,221,最速,スカーフ,30,0,135
ナマケロ,330,233,最速,スカーフ,30,0,135
ノズパス,342,239,最速,スカーフ,30,0,135
ダンバル,417,281,最速,スカーフ,30,0,135
タテトプス,456,306,最速,スカーフ,30,0,135
トリデプス,457,307,最速,スカーフ,30,0,135
フローゼル,467,312,無振,,115,0,135
エテボース,472,315,無振,,115,0,135
ドンカラス,478,319,最速,,71,0,135
ピンプク,488,326,最速,スカーフ,30,0,135
ブーバーン,515,346,準速,,83,0,135
アグノム,535,365,無振,,115,0,135
ジャノビー,553,378,準速,,83,0,135
チュリネ,606,399,最速,スカーフ,30,0,135
チラチーノ,641,414,無振,,115,0,135
ダブラン,646,419,最速,スカーフ,30,0,135
ランクルス,647,420,最速,スカーフ,30,0,135
モロバレル,659,426,最速,スカーフ,30,0,135
モノズ,703,452,準速,スカーフ,38,0,135
ハリマロン,727,464,準速,スカーフ,38,0,135
ケロマツ,733,470,最速,,71,0,135
クズモー,770,491,最速,スカーフ,30,0,135
ボクレー,790,505,準速,スカーフ,38,0,135
クレベース(ヒスイのすがた),802,509,準速,スカーフ,38,0,135
タンドン,940,587,最速,スカーフ,30,0,135
セキタンザン,942,589,最速,スカーフ,30,0,135
タルップル,945,592,最速,スカーフ,30,0,135
サダイジャ,947,594,最速,,71,0,135
ダイオウドウ,985,622,最速,スカーフ,30,0,135
ブリザポス,1006,638,最速,スカーフ,30,0,135
ニャローテ,1022,652,準速,,83,0,135
ミニーブ,1045,675,最速,スカーフ,30,0,135
シガロコ,1073,700,最速,スカーフ,30,0,135
マンキー,67,40,最速,,70,0,134
ニョロボン,75,48,最速,,70,0,134
ウツボット,84,51,最速,,70,0,134
メノクラゲ,85,52,最速,,70,0,134
レアコイル,102,65,最速,,70,0,134
ジュゴン,108,69,最速,,70,0,134
パルシェン,114,75,最速,,70,0,134
ハクリュー,183,122,最速,,70,0,134
ヨルノズク,200,139,最速,,70,0,134
ニョロトノ,222,154,最速,,70,0,134
エアームド,268,190,最速,,70,0,134
カポエラー,278,200,最速,,70,0,134
キモリ,293,207,最速,,70,0,134
グラエナ,303,217,最速,,70,0,134
ルンパッパ,315,220,最速,,70,0,134
キノガッサ,329,232,最速,,70,0,134
ビブラーバ,372,255,最速,,70,0,134
メタグロス,419,283,最速,,70,0,134
レントラー,451,303,最速,,70,0,134
ミツハニー,463,308,最速,,70,0,134
フワンテ,473,316,最速,,70,0,134
ガバイト,492,329,準速,,82,0,134
ダイケンキ(原種),560,385,最速,,70,0,134
ゾロア(ヒスイのすがた),637,410,最速,,70,0,134
キリキザン,694,446,最速,,70,0,134
フーパ(いましめられしフーパ),811,513,最速,,70,0,134
ボルケニオン,813,514,最速,,70,0,134
ジュナイパー(原種),816,517,最速,,70,0,134
ニャビー,818,519,最速,,70,0,134
ルガルガン(まよなかのすがた),842,543,準速,,82,0,134
メッソン,919,577,最速,,70,0,134
アップリュー,944,591,最速,,70,0,134
ポットデス,959,602,最速,,70,0,134
ギモー,964,607,最速,,70,0,134
イシヘンジン,978,616,最速,,70,0,134
ドラメシヤ,991,624,準速,,82,0,134
カイデン,1060,687,最速,,70,0,134
ノノクラゲ,1068,695,最速,,70,0,134
オトシドリ,1082,709,準速,,82,0,134
ミガルーサ,1097,723,最速,,70,0,134
シャリタツ(のびたすがた),1101,725,準速,,82,0,134
シャリタツ(そったすがた),1099,726,準速,,82,0,134
シャリタツ(たれたすがた),1100,727,準速,,82,0,134
チオンジェン,1126,750,最速,,70,0,134
ヤバソチャ,1140,762,最速,,70,0,134
ギャラドス,162,106,準速,,81,0,133
ミロカロス,393,268,準速,,81,0,133
モウカザル,437,291,準速,,81,0,133
ジャローダ,554,379,無振,,113,0,133
コフーライ,743,477,最速,スカーフ,29,0,133
ヒバニー,916,574,最速,,69,0,133
ブリムオン,962,605,最速,スカーフ,29,0,133
チヲハウハネ,1112,737,準速,,81,0,133
フシギバナ,2,2,準速,,80,0,132
リザード,4,4,準速,,80,0,132
アーボック,25,10,準速,,80,0,132
ゴース,115,76,準速,,80,0,132
コイキング,161,105,準速,,80,0,132
カイリュー,184,123,準速,,80,0,132
メガニウム,189,128,準速,,80,0,132
マグマラシ,191,130,準速,,80,0,132
ポポッコ,224,156,準速,,80,0,132
バシャーモ,298,212,準速,,80,0,132
ダーテング,318,223,準速,,80,0,132
サーナイト,325,228,準速,,80,0,132
アメモース,327,230,準速,,80,0,132
チャーレム,351,242,準速,,80,0,132
ブーピッグ,369,253,準速,,80,0,132
チルタリス,377,260,準速,,80,0,132
ヒンバス,392,267,準速,,80,0,132
オニゴーリ,405,276,準速,,80,0,132
ハヤシガメ,434,288,準速,スカーフ,36,0,132
ムクバード,443,297,準速,,80,0,132
フワライド,474,317,準速,,80,0,132
マンムー,521,351,準速,,80,0,132
エルレイド,523,353,準速,,80,0,132
エムリット,534,364,準速,,80,0,132
モグリュー,587,389,最速,,68,0,132
シャンデラ,677,434,準速,,80,0,132
ウォーグル(原種),697,448,準速,,80,0,132
バルジーナ,700,451,準速,,80,0,132
ゴーゴート,751,485,最速,,68,0,132
ニャスパー,755,486,最速,,68,0,132
ヌメルゴン(原種),787,502,準速,,80,0,132
カチコール,800,507,最速,スカーフ,28,0,132
クレベース(原種),801,508,最速,スカーフ,28,0,132
デンヂムシ,830,531,準速,スカーフ,36,0,132
ルガルガン(まひるのすがた),841,542,無振,,112,0,132
ナゲツケサル,865,560,準速,,80,0,132
バチンキー,914,572,準速,,80,0,132
ドラパルト,993,626,最遅,,142,0,132
レジドラゴ,1005,637,準速,,80,0,132
バドレックス(通常),1008,640,準速,,80,0,132
ホゲータ,1024,654,準速,スカーフ,36,0,132
ハカドッグ,1093,719,最速,,68,0,132
イイネイヌ,1141,763,準速,,80,0,132
トルネロス(けしんフォルム),711,457,無振,,111,0,131
ボルトロス(けしんフォルム),713,459,無振,,111,0,131
イッカネズミ(3びきかぞく),1041,671,無振,,111,0,131
イッカネズミ(4ひきかぞく),1042,672,無振,,111,0,131
サケブシッポ,1109,734,無振,,111,0,131
カメックス,8,8,準速,,78,0,130
ライチュウ(原種),27,12,無振,,110,0,130
ライチュウ(アローラのすがた),28,13,無振,,110,0,130
ピッピ,39,18,準速,スカーフ,35,0,130
ダグトリオ(アローラのすがた),59,34,無振,,110,0,130
ゴローン(原種),89,56,準速,スカーフ,35,0,130
ゴローン(アローラのすがた),90,57,準速,スカーフ,35,0,130
ドードリオ,106,67,無振,,110,0,130
ゲンガー,117,78,無振,,110,0,130
スリーパー,120,80,最速,,67,0,130
ドガース,136,90,準速,スカーフ,35,0,130
ケンタロス(原種),157,101,無振,,110,0,130
オーダイル,196,135,準速,,78,0,130
チョンチー,206,142,最速,,67,0,130
ランターン,207,143,最速,,67,0,130
メリープ,215,147,準速,スカーフ,35,0,130
ワタッコ,225,157,無振,,110,0,130
ヌオー,232,163,準速,スカーフ,35,0,130
エーフィ,233,164,無振,,110,0,130
バルキー,277,199,準速,スカーフ,35,0,130
バルキー,277,199,準速,ふくつのこころ,35,1,130
ポチエナ,302,216,準速,スカーフ,35,0,130
ポチエナ,302,216,準速,はやあし,35,1,130
ポチエナ,302,216,準速,びびり,35,1,130
キノココ,328,231,準速,スカーフ,35,0,130
キノココ,328,231,準速,はやあし,35,1,130
ドンメル,365,249,準速,スカーフ,35,0,130
サボネア,374,257,準速,スカーフ,35,0,130
ヘイガニ,384,265,準速,スカーフ,35,0,130
ミカルゲ,490,327,準速,スカーフ,35,0,130
ユキメノコ,526,356,無振,,110,0,130
ドッコラー,590,391,準速,スカーフ,35,0,130
ゾロアーク(ヒスイのすがた),639,412,無振,,110,0,130
オノンド,679,436,最速,,67,0,130
ゴビット,691,443,準速,スカーフ,35,0,130
コフキムシ,742,476,準速,スカーフ,35,0,130
ルガルガン(たそがれのすがた),843,544,無振,,110,0,130
ドヒドイデ,847,546,準速,スカーフ,35,0,130
バンバドロ,849,548,準速,スカーフ,35,0,130
カリキリ,852,551,準速,スカーフ,35,0,130
シロデスナ,869,562,準速,スカーフ,35,0,130
アーマーガア,926,584,最速,,67,0,130
イダイトウ(オスのすがた),1015,645,準速,,78,0,130
イダイトウ(メスのすがた),1016,646,準速,,78,0,130
グルトン,1030,660,準速,スカーフ,35,0,130
ワナイダー,1034,664,準速,スカーフ,35,0,130
ジオヅム,1053,680,準速,スカーフ,35,0,130
キョジオーン,1054,681,準速,スカーフ,35,0,130
カルボウ,1055,682,準速,スカーフ,35,0,130
タギングル,1065,692,無振,,110,0,130
ナカヌチャン,1078,705,準速,,78,0,130
ヘイラッシャ,1098,724,準速,スカーフ,35,0,130
テツノドクガ,1118,743,無振,,110,0,130
オーガポン(みどりのめん),1144,766,無振,,110,0,130
オーガポン(いどのめん),1145,767,無振,,110,0,130
オーガポン(かまどのめん),1146,768,無振,,110,0,130
オーガポン(いしずえのめん),1147,769,無振,,110,0,130
キュウコン(アローラのすがた),44,23,無振,,109,0,129
カラナクシ,470,313,準速,スカーフ,34,0,129
ケイコウオ,504,338,最速,,66,0,129
ヒードラン,540,370,準速,,77,0,129
モンメン,604,397,最速,,66,0,129
シズクモ,850,549,最速,スカーフ,27,0,129
ヤトウモリ,856,553,準速,,77,0,129
アオガラス,925,583,準速,,77,0,129
サシカマス,949,596,最速,,66,0,129
マホミル,972,610,準速,スカーフ,34,0,129
ラウドボーン,1026,656,最速,,66,0,129
ボチ,1092,718,準速,スカーフ,34,0,129
ウネルミナモ,1136,758,無振,,109,0,129
ヒトカゲ,3,3,最速,,65,0,128
サンドパン(原種),31,16,最速,,65,0,128
サンドパン(アローラのすがた),32,17,最速,,65,0,128
ロコン(原種),41,20,最速,,65,0,128
ロコン(アローラのすがた),42,21,最速,,65,0,128
エビワラー,134,89,準速,,76,0,128
シャワーズ,166,110,最速,,65,0,128
ブースター,168,112,最速,,65,0,128
ヒノアラシ,190,129,最速,,65,0,128
ブラッキー,234,165,最速,,65,0,128
ハッサム,251,179,最速,,65,0,128
デルビル,269,191,最速,,65,0,128
ペリッパー,322,225,最速,,65,0,128
アメタマ,326,229,最速,,65,0,128
ハブネーク,379,262,最速,,65,0,128
ジュペッタ,397,270,最速,,65,0,128
チリーン,401,274,最速,,65,0,128
ゴウカザル,438,292,無振,,108,0,128
コロトック,448,300,最速,,65,0,128
グレイシア,519,349,最速,,65,0,128
エンブオー,557,382,最速,,65,0,128
シママ,580,387,準速,,76,0,128
メグロコ,612,404,最速,,65,0,128
ゾロア(原種),636,409,最速,,65,0,128
ゴチルゼル,644,417,最速,,65,0,128
ママンボウ,662,427,最速,,65,0,128
デンチュラ,664,428,無振,,108,0,128
コジョフー,688,441,最速,,65,0,128
ウォーグル(ヒスイのすがた),698,449,最速,,65,0,128
ツツケラ,824,525,最速,,65,0,128
ネッコアラ,875,564,最速,,65,0,128
ジャランゴ,883,568,最速,,65,0,128
マギアナ,904,570,最速,,65,0,128
サルノリ,913,571,最速,,65,0,128
モスノウ,977,615,最速,,65,0,128
ザシアン(れきせんのゆうしゃ),994,627,最遅,,138,0,128
ザマゼンタ(れきせんのゆうしゃ),996,629,最遅,,138,0,128
アヤシシ,1011,641,最速,,65,0,128
ニャオハ,1021,651,最速,,65,0,128
ウェルカモ,1028,658,最速,,65,0,128
パフュートン(オスのすがた),1031,661,最速,,65,0,128
パフュートン(メスのすがた),1032,662,最速,,65,0,128
パピモッチ,1043,673,最速,,65,0,128
ミミズズ,1089,715,最速,,65,0,128
テツノコウベ,1117,742,無振,,108,0,128
ドードー,105,66,準速,,75,0,127
デリバード,266,189,準速,,75,0,127
ドーブル,276,198,準速,,75,0,127
ドータクン,485,324,準速,スカーフ,33,0,127
チラーミィ,640,413,準速,,75,0,127
シキジカ,653,423,準速,,75,0,127
ブリガロン,729,466,最速,,64,0,127
フラージェス,749,483,準速,,75,0,127
クレッフィ,789,504,準速,,75,0,127
ケララッパ,825,526,準速,,75,0,127
ストリンダー(ハイなすがた),952,599,準速,,75,0,127
ストリンダー(ローなすがた),953,600,準速,,75,0,127
マホイップ,973,611,最速,,64,0,127
タイレーツ,974,612,準速,,75,0,127
ワッカネズミ,1040,670,準速,,75,0,127
オリーニョ,1046,676,準速,スカーフ,33,0,127
グレンアルマ,1056,683,準速,,75,0,127
シルシュルー,1064,691,準速,,75,0,127
ガケガニ,1070,697,準速,,75,0,127
スコヴィラン,1072,699,準速,,75,0,127
ヒラヒナ,1075,702,準速,,75,0,127
ナミイルカ,1083,710,準速,,75,0,127
ベトベター(原種),109,70,最速,スカーフ,25,0,126
ベトベター(アローラのすがた),110,71,最速,スカーフ,25,0,126
サイホーン,139,93,最速,スカーフ,25,0,126
マクノシタ,339,236,最速,スカーフ,25,0,126
ヨマワル,398,271,最速,スカーフ,25,0,126
サマヨール,399,272,最速,スカーフ,25,0,126
コロボーシ,447,299,最速,スカーフ,25,0,126
スカンプー,482,321,準速,,74,0,126
ヒポポタス,497,334,準速,スカーフ,32,0,126
ツタージャ,552,377,最速,,63,0,126
ワルビル,613,405,準速,,74,0,126
カエンジシ,746,480,無振,,106,0,126
マケンカニ,832,533,最速,,63,0,126
アマカジ,860,555,準速,スカーフ,32,0,126
ホシガリス,922,580,最速,スカーフ,25,0,126
カジリガメ,937,586,準速,,74,0,126
カマスジョー,950,597,最遅,,136,0,126
ラブトロス(けしんフォルム),1019,649,無振,,106,0,126
コジオ,1052,679,最速,スカーフ,25,0,126
ハバタクカミ,1111,736,最遅,,135,0,126
テツノワダチ,1114,739,無振,,106,0,126
テツノツツミ,1115,740,最遅,,136,0,126
パオジアン,1127,751,最遅,,135,0,126
コライドン(かんぜんけい),1132,756,最遅,,135,0,126
ミライドン(かんぜんけい),1134,757,最遅,,135,0,126
マシマシラ,1142,764,無振,,106,0,126
ストライク,152,98,無振,,105,0,125
エレブー,154,99,無振,,105,0,125
ムウマージ,477,318,無振,,105,0,125
ドレディア(ヒスイのすがた),608,401,無振,,105,0,125
ゾロアーク(原種),638,411,無振,,105,0,125
フリージオ,683,440,無振,,105,0,125
コジョンド,689,442,無振,,105,0,125
テールナー,731,468,準速,,73,0,125
ヤヤコマ,739,473,最速,,62,0,125
カラマネロ,767,490,準速,,73,0,125
アママイコ,861,556,最速,,62,0,125
ザルード,1003,635,無振,,105,0,125
パーモット,1039,669,無振,,105,0,125
クエスパトラ,1076,703,無振,,105,0,125
ハルクジラ,1096,722,準速,,73,0,125
セゴール,1121,746,最速,,62,0,125
バンギラス,289,206,最速,,61,0,124
ナエトル,433,287,準速,スカーフ,31,0,124
ヒコザル,436,290,最速,,61,0,124
マフォクシー,732,469,無振,,104,0,124
シシコ,745,479,準速,,72,0,124
ニャオニクス(オスのすがた),756,487,無振,,104,0,124
ニャオニクス(メスのすがた),757,488,無振,,104,0,124
アマージョ,862,557,準速,,72,0,124
ダクマ,1000,632,準速,,72,0,124
テツノイバラ,1119,744,準速,,72,0,124
テツノイサハ,1137,759,無振,,104,0,124
フシギソウ,1,1,最速,,60,0,123
ピクシー,40,19,最速,,60,0,123
ナゾノクサ,49,26,準速,スカーフ,30,0,123
ガーディ(原種),69,42,最速,,60,0,123
ヤドラン(原種),99,62,準速,スカーフ,30,0,123
ヤドラン(ガラルのすがた),100,63,準速,スカーフ,30,0,123
マタドガス(原種),137,91,最速,,60,0,123
マタドガス(ガラルのすがた),138,92,最速,,60,0,123
