ID,全国,名前,フォルム,GEN,FID,RID,TID,IID,名前(フォルム),タイプ1,,タイプ2,,HP,攻撃,防御,特攻,特防,素早,合計,とくせい1,とくせい2,夢特性,重さ(kg),スプライト名,スプライトID,アイコンID,アイコン名
518,0470,リーフィア,,4,00,00,00,,リーフィア,くさ,grass,なし,none,65,110,130,60,65,95,525,リーフガード,,ようりょくそ,25.5,pm0473_00_00_00,,1-0vvisqyZ_xFMEBs1EmBRsI0C3V3IB-I,Pokémon-Icon_470
519,0471,グレイシア,,4,00,00,00,,グレイシア,こおり,ice,なし,none,65,60,110,130,95,65,525,ゆきがくれ,,アイスボディ,25.9,pm0474_00_00_00,,1CGIusbU8Mohjlf-7JoxklDFwlZrNvdOy,Pokémon-Icon_471
520,0472,グライオン,,4,00,00,00,,グライオン,じめん,ground,ひこう,flying,75,95,125,45,75,95,510,かいりきバサミ,すながくれ,ポイズンヒール,42.5,pm0475_00_00_00,1ZdiW7-tRRFlfeDgQuMEA5eE5V_p03xwv,1OOHfBfNpcZt3ZzaxH8QWduCQR7FMU7I3,Pokémon-Icon_472
521,0473,マンムー,,4,00,00,00,,マンムー,こおり,ice,じめん,ground,110,130,80,70,60,80,530,どんかん,ゆきがくれ,あついしぼう,291,pm0476_00_00_00,,1t3__7ViV6X0_o7kmlgyaWTzZo5n_IMKs,Pokémon-Icon_473
522,0474,ポリゴンZ,,4,00,00,00,,ポリゴンZ,ノーマル,normal,なし,none,85,80,70,135,75,90,535,てきおうりょく,ダウンロード,アナライズ,34,pm0477_00_00_00,,18aEM1JSy3BXAet-KM3uq_qnj9NNyMY_a,Pokémon-Icon_474
523,0475,エルレイド,,4,00,00,00,,エルレイド,エスパー,psychic,かくとう,fighting,68,125,65,65,115,80,518,ふくつのこころ,きれあじ,せいぎのこころ,52,pm0478_00_00_00,1MeMNSXbPPVEXqK7tlgtNeWN8QzodCgNZ,1XkeaEtqsrpcJKB7byqIHjemHddS0XFLV,Pokémon-Icon_475
524,0476,ダイノーズ,,4,00,00,00,,ダイノーズ,いわ,rock,はがね,steel,60,55,145,75,150,40,525,がんじょう,じりょく,すなのちから,340,pm0479_11_00_00,1Lb0DnVLpjQ8A-iCjHeQ4Glis_sHgKvMQ,14N7JWXqFxXz-Njw5nMCSkMySR1VCMaxE,Pokémon-Icon_476
525,0477,ヨノワール,,4,00,00,00,,ヨノワール,ゴースト,ghost,なし,none,45,100,135,65,135,45,525,プレッシャー,,おみとおし,106.6,pm0479_12_00_00,1ajRDPmxgpMKKrSBcbmsWzHSQZIFodTnp,1qqSiBadOiXEyWPPiIibeWQUcrGZ4IINg,Pokémon-Icon_477
526,0478,ユキメノコ,,4,00,00,00,,ユキメノコ,こおり,ice,ゴースト,ghost,70,80,70,80,70,110,480,ゆきがくれ,,のろわれボディ,26.6,pm0479_13_00_00,17tpPr_fwbXZNOEo0hGM0_lIyo-NI_S9j,15ioprpkWakmn9Pa6wrF2c00ob6Zmh5K3,Pokémon-Icon_478
527,0479,ロトム,通常,4,11,00,00,,ロトム(通常),でんき,electric,ゴースト,ghost,50,50,77,95,77,91,440,ふゆう,,,0.3,pm0479_14_00_00,1oSMR1vBFX7SexO7HRAyUERY1AbIctaL2,1zmEZrUa2L-pqHKUbJ7ZtsB_46ZVhyfAU,Pokémon-Icon_479
528,0479,ロトム,ウォッシュ,4,13,00,00,b,ロトム(ウォッシュ),でんき,electric,みず,water,50,65,107,105,107,86,520,ふゆう,,,0.3,pm0479_16_00_00,11aBjq4Bzn_HjwRVWJK3Wq6cx1c9IEPdJ,13WQpDxyWS9H7quf2i4lHdiRF7u16k9fm,Pokémon-Icon_479b
529,0479,ロトム,カット,4,16,00,00,e,ロトム(カット),でんき,electric,くさ,grass,50,65,107,105,107,86,520,ふゆう,,,0.3,pm0482_00_00_00,1DqCA5jxRdRBG1rhHtjOzeEkRhaD8-ZYY,1ulivupn_Sx5VomiUyCrAD7jru51BA57T,Pokémon-Icon_479e
530,0479,ロトム,スピン,4,15,00,00,d,ロトム(スピン),でんき,electric,ひこう,flying,50,65,107,105,107,86,520,ふゆう,,,0.3,pm0481_00_00_00,1fIwjfDLTU352IVg4gBAFCYYFtSFvkepa,1SR4ZnP4C09xefet7ueIO0VV5Hsm94hTR,Pokémon-Icon_479d
531,0479,ロトム,ヒート,4,12,00,00,a,ロトム(ヒート),でんき,electric,ほのお,fire,50,65,107,105,107,86,520,ふゆう,,,0.3,pm0479_15_00_00,1IOjR8c2zMHhxuRAiiH_OT-nGvbnHfLWY,1nNZ8IRygc2hudqOMwEwqjBP2062bH36x,Pokémon-Icon_479a
532,0479,ロトム,フロスト,4,14,00,00,c,ロトム(フロスト),でんき,electric,こおり,ice,50,65,107,105,107,86,520,ふゆう,,,0.3,pm0480_00_00_00,1Cf4U0U1Tz__VYcQOOg31GcHL9owDKZcf,1CM5UwU480nQD9BwxN9M0UJf7-7jqJJgr,Pokémon-Icon_479c
533,0480,ユクシー,,4,00,00,00,,ユクシー,エスパー,psychic,なし,none,75,75,130,75,130,95,580,ふゆう,,,0.3,pm0483_11_00_00,1L30pe6F2z6T6Gjnjods6m8ZiAwfIgqyU,1UcAwOWp6Vs0WxSCk7yoBFlYCrqsQE50g,Pokémon-Icon_480
534,0481,エムリット,,4,00,00,00,,エムリット,エスパー,psychic,なし,none,80,105,105,105,105,80,580,ふゆう,,,0.3,pm0484_11_00_00,1nsJrLmaUCQKrohEJ9yui5O5v6PQoihXL,1MJ7-LFclpZcA-Vnl_7ZnHWQMz7BkKfAl,Pokémon-Icon_481
535,0482,アグノム,,4,00,00,00,,アグノム,エスパー,psychic,なし,none,75,125,70,125,70,115,580,ふゆう,,,0.3,pm0485_00_00_00,1D4rlFmhRVUNaeDDWIwbGnQKNka0uZxaS,1Sf0EkKHy6x2IxZhr_DdeTimDzkMXoH0U,Pokémon-Icon_482
536,0483,ディアルガ,通常,4,00,00,00,,ディアルガ(通常),はがね,steel,ドラゴン,dragon,100,120,120,150,100,90,680,プレッシャー,,テレパシー,683,pm0486_00_00_00,,1n8euc1GtJ7wqbdQ5TN0yA1XuOHzlh5La,Pokémon-Icon_483
537,0483,ディアルガ,オリジンフォルム,4,11,00,00,a,ディアルガ(オリジンフォルム),はがね,steel,ドラゴン,dragon,100,100,120,150,120,90,680,プレッシャー,,テレパシー,683,pm0486_00_00_00,,1zz3RVDUtIPMX0wtccszCt3IenMXf_76w,Pokémon-Icon_483a
538,0484,パルキア,通常,4,00,00,00,,パルキア(通常),みず,water,ドラゴン,dragon,90,120,100,150,120,100,680,プレッシャー,,テレパシー,336,pm0487_11_00_00,19PyJJAGy7Z1t-q8RU-j-RFN8Di7kBb5b,16uHiQM9Ts9D9ob1WWghoXrh0nhS44bxZ,Pokémon-Icon_484
539,0484,パルキア,オリジンフォルム,4,11,00,00,a,パルキア(オリジンフォルム),みず,water,ドラゴン,dragon,90,100,100,150,120,120,680,プレッシャー,,テレパシー,336,pm0487_11_00_00,19PyJJAGy7Z1t-q8RU-j-RFN8Di7kBb5b,11rApZuLFgpVbc5Yiw554BDlErjyWScpg,Pokémon-Icon_484a
540,0485,ヒードラン,,4,00,00,00,,ヒードラン,ほのお,fire,はがね,steel,91,90,106,130,106,77,600,もらいび,,ほのおのからだ,430,pm0487_12_00_00,1weoZ4hcYWsZ_jVGMMcqNw9izLjbM52W3,1Gi2Ed1rvR0IW9QLikwC4WQfp0F2S1bCh,Pokémon-Icon_485
541,0486,レジギガス,,4,00,00,00,,レジギガス,ノーマル,normal,なし,none,110,160,110,80,110,100,670,スロースタート,,,420,pm0488_00_00_00,1wLMZqACj-Tdy244zjy3YMaTXkrEPmMH1,1IpPge5fsIpryJESf-rTmznhs24XHCeRl,Pokémon-Icon_486
542,0487,ギラティナ,オリジンフォルム,4,12,00,00,a,ギラティナ(オリジンフォルム),ゴースト,ghost,ドラゴン,dragon,150,120,100,120,100,90,680,ふゆう,,,650,pm0490_00_00_00,,1_kG1eRLKpvKgpUc1U4P4wwSXYWeTsea5,Pokémon-Icon_487a
543,0487,ギラティナ,アナザーフォルム,4,11,00,00,,ギラティナ(アナザーフォルム),ゴースト,ghost,ドラゴン,dragon,150,100,120,100,120,90,680,プレッシャー,,テレパシー,750,pm0489_00_00_00,,123pXugrs0WJFiyDfZ2ZKPWsGToKlhH9h,Pokémon-Icon_487
544,0488,クレセリア,,4,00,00,00,,クレセリア,エスパー,psychic,なし,none,120,70,110,75,120,85,580,ふゆう,,,85.6,pm0491_00_00_00,,1Jzdm7JJtCZzrG3nR3YObYpDnZVlZYP9_,Pokémon-Icon_488
545,0489,フィオネ,,4,00,00,00,,フィオネ,みず,water,なし,none,80,80,80,80,80,80,480,うるおいボディ,,,3.1,pm0492_00_00_00,,12rEbochHLUJ_xz2VxmcYY4Nmz1a_J7So,Pokémon-Icon_489
546,0490,マナフィ,,4,00,00,00,,マナフィ,みず,water,なし,none,100,100,100,100,100,100,600,うるおいボディ,,,1.4,pm0492_00_00_00,,1uWuzqcPfx3kxudntMUUIg42Xq0md2YML,Pokémon-Icon_490
547,0491,ダークライ,,4,00,00,00,,ダークライ,あく,dark,なし,none,70,90,90,135,90,125,600,ナイトメア,,,50.5,pm0493_11_00_00,1PsAs_TLVMcjmHX0nrhF_A2P_X8aIsrTe,1kVcRT4ozJ_8eOBW7_E77hBuPSKMiCNRu,Pokémon-Icon_491
548,0492,シェイミ,スカイフォルム,4,11,00,00,,シェイミ(スカイフォルム),くさ,grass,ひこう,flying,100,103,75,120,75,127,600,てんのめぐみ,,,5.2,pm0494_00_00_00,,1PKZP5O9S0ksRB7_muHsCCsjXBekSvNgA,Pokémon-Icon_492
549,0492,シェイミ,ランドフォルム,4,12,00,00,a,シェイミ(ランドフォルム),くさ,grass,なし,none,100,100,100,100,100,100,600,しぜんかいふく,,,2.1,pm0495_00_00_00,,1MyHf2vuigytu2OTC8cMri8S9hxo__l4r,Pokémon-Icon_492a
550,0493,アルセウス,,4,11,00,00,,アルセウス,ノーマル,normal,なし,none,120,120,120,120,120,120,720,マルチタイプ,,,320,pm0496_00_00_00,,18GueDoCLERZb4fkHdOS0227Kq4R79IA7,Pokémon-Icon_493
551,0494,ビクティニ,,4,00,00,00,,ビクティニ,エスパー,psychic,ほのお,fire,100,100,100,100,100,100,600,しょうりのほし,,,4,pm0497_00_00_00,,1aTbFcMziUYnXw8qbmIDYYaP9yx0NR6g-,Pokémon-Icon_494
552,0495,ツタージャ,,5,00,00,00,,ツタージャ,くさ,grass,なし,none,45,45,55,45,55,63,308,しんりょく,,あまのじゃく,8.1,pm0498_00_00_00,,15ComMFKlFW9xPLF1AwCfF_P68L0DsJMr,Pokémon-Icon_495
553,0496,ジャノビー,,5,00,00,00,,ジャノビー,くさ,grass,なし,none,60,60,75,60,75,83,413,しんりょく,,あまのじゃく,16,pm0499_00_00_00,,1u2lpHeF5rN_gw999296d7nl-rw9v7Ozz,Pokémon-Icon_496
554,0497,ジャローダ,,5,00,00,00,,ジャローダ,くさ,grass,なし,none,75,75,95,75,95,113,528,しんりょく,,あまのじゃく,63,pm0500_00_00_00,,14EDBMKIffT7kdUzP5NPrA6pdUAgHgyhd,Pokémon-Icon_497
555,0498,ポカブ,,5,00,00,00,,ポカブ,ほのお,fire,なし,none,65,63,45,45,45,45,308,もうか,,あついしぼう,9.9,pm0501_00_00_00,1okHWQ1c1_6ib34P3Ozxl6O-Qx21xwMi-,1zzl8dn2--XrlBgI5f9GsQb9hYyEShr78,Pokémon-Icon_498
556,0499,チャオブー,,5,00,00,00,,チャオブー,ほのお,fire,かくとう,fighting,90,93,55,70,55,55,418,もうか,,あついしぼう,55.5,pm0502_00_00_00,1-yR_YnZe5fkdOCHRnRtArv7b0QcS611d,1LnHApPeBqCnutLlXIqFXXOzmCLJ2RT1M,Pokémon-Icon_499
557,0500,エンブオー,,5,00,00,00,,エンブオー,ほのお,fire,かくとう,fighting,110,123,65,100,65,65,528,もうか,,すてみ,150,pm0503_00_00_00,1PWfMLNSFGyI-XlLpYnY-u06LFmWettsU,1CF3xt1OwgbfujLNxvpqLHMSDHUXT2vCZ,Pokémon-Icon_500
558,0501,ミジュマル,,5,00,00,00,,ミジュマル,みず,water,なし,none,55,55,45,63,45,45,308,げきりゅう,,シェルアーマー,5.9,pm0503_00_00_00,1PWfMLNSFGyI-XlLpYnY-u06LFmWettsU,11ef8IYiRp_tw_QHWNCAvxzoNEbP8d7Y3,Pokémon-Icon_501
559,0502,フタチマル,,5,00,00,00,,フタチマル,みず,water,なし,none,75,75,60,83,60,60,413,げきりゅう,,シェルアーマー,24.5,pm0504_00_00_00,,1b13Gmkl72AzlHmqh2LlXoCJVE5yoZhxb,Pokémon-Icon_502
560,0503,ダイケンキ,原種,5,00,00,00,,ダイケンキ(原種),みず,water,なし,none,95,100,85,108,70,70,528,げきりゅう,,シェルアーマー,94.6,pm0505_00_00_00,,1BHQ_iYB4t0EtbjND2w7aF6UT80RXhjEm,Pokémon-Icon_503
561,0503,ダイケンキ,ヒスイのすがた,8.5,00,41,00,a,ダイケンキ(ヒスイのすがた),みず,water,あく,dark,90,108,80,100,65,85,528,げきりゅう,,きれあじ,58.2,pm0506_00_00_00,,1LqEfvHOupcXG0ZIDoMgCN2AtLnUXkfuF,Pokémon-Icon_503a
562,0504,ミネズミ,,5,00,00,00,,ミネズミ,ノーマル,normal,なし,none,45,55,39,35,39,42,255,にげあし,するどいめ,アナライズ,11.6,pm0507_00_00_00,,1w4z57LzuosRTjYYoIQIMvsFY0gzB5J2R,Pokémon-Icon_504
563,0505,ミルホッグ,,5,00,00,00,,ミルホッグ,ノーマル,normal,なし,none,60,85,69,60,69,77,420,はっこう,するどいめ,アナライズ,27,pm0508_00_00_00,,1ML1vSDOZWWzwfHMlsvOS5MIIXJ6FLCyG,Pokémon-Icon_505
564,0506,ヨーテリー,,5,00,00,00,,ヨーテリー,ノーマル,normal,なし,none,45,60,45,25,45,55,275,やるき,ものひろい,にげあし,4.1,pm0509_00_00_00,,10m0KtoRvh2S2sO9lVzbEb7ELO8xfCDwC,Pokémon-Icon_506
565,0507,ハーデリア,,5,00,00,00,,ハーデリア,ノーマル,normal,なし,none,65,80,65,35,65,60,370,いかく,すなかき,きもったま,14.7,pm0510_00_00_00,,19MbbfLEQuc0mwfWMRhOSkJQMaB7xY_dA,Pokémon-Icon_507
566,0508,ムーランド,,5,00,00,00,,ムーランド,ノーマル,normal,なし,none,85,110,90,45,90,80,500,いかく,すなかき,きもったま,61,pm0511_00_00_00,,1BWgTGX72_XT7Jbx8Pe7bXjyhWIAxZZuG,Pokémon-Icon_508
567,0509,チョロネコ,,5,00,00,00,,チョロネコ,あく,dark,なし,none,41,50,37,50,37,66,281,じゅうなん,かるわざ,いたずらごころ,10.1,pm0512_00_00_00,,1JusVkYuTyd8SwLysLRvIz91vdTgXbLm1,Pokémon-Icon_509
568,0510,レパルダス,,5,00,00,00,,レパルダス,あく,dark,なし,none,64,88,50,88,50,106,446,じゅうなん,かるわざ,いたずらごころ,37.5,pm0513_00_00_00,,1OdEwx0X-No185oIqHjTDNNaOz9ENW7GO,Pokémon-Icon_510
569,0511,ヤナップ,,5,00,00,00,,ヤナップ,くさ,grass,なし,none,50,53,48,53,48,64,316,くいしんぼう,,しんりょく,10.5,pm0514_00_00_00,,1Zd-jSIRd1TESqCcgwQzb8uNnYjomZoaN,Pokémon-Icon_511
570,0512,ヤナッキー,,5,00,00,00,,ヤナッキー,くさ,grass,なし,none,75,98,63,98,63,101,498,くいしんぼう,,しんりょく,30.5,pm0515_00_00_00,,1ieLvIA9m2_Xrg06Cn30JOXEfEuXfZi4P,Pokémon-Icon_512
571,0513,バオップ,,5,00,00,00,,バオップ,ほのお,fire,なし,none,50,53,48,53,48,64,316,くいしんぼう,,もうか,11,pm0516_00_00_00,,1N4nBVE61UrTAGSTDfqK_YTutUXmGXzdH,Pokémon-Icon_513
572,0514,バオッキー,,5,00,00,00,,バオッキー,ほのお,fire,なし,none,75,98,63,98,63,101,498,くいしんぼう,,もうか,28,pm0517_00_00_00,,16n7gNtUnDH_zIqrc5_wL8LtHXNGllV3Z,Pokémon-Icon_514
573,0515,ヒヤップ,,5,00,00,00,,ヒヤップ,みず,water,なし,none,50,53,48,53,48,64,316,くいしんぼう,,げきりゅう,13.5,pm0518_00_00_00,,1pqDx8Sp7FNTfxCXAl6LYjAQlKqjjlT4a,Pokémon-Icon_515
574,0516,ヒヤッキー,,5,00,00,00,,ヒヤッキー,みず,water,なし,none,75,98,63,98,63,101,498,くいしんぼう,,げきりゅう,29,pm0519_00_00_00,,1mbE9c4tpnT-m2qVSs9J3FoK8EJbDT_fk,Pokémon-Icon_516
575,0517,ムンナ,,5,00,00,00,,ムンナ,エスパー,psychic,なし,none,76,25,45,67,55,24,292,よちむ,シンクロ,テレパシー,23.3,pm0520_00_00_00,,1ZjFR-vp-Fo12GJrYYL2W9hrfRN-Vs5sK,Pokémon-Icon_517
576,0518,ムシャーナ,,5,00,00,00,,ムシャーナ,エスパー,psychic,なし,none,116,55,85,107,95,29,487,よちむ,シンクロ,テレパシー,60.5,pm0521_00_00_00,,1olNExmIGR6DEn0iKOecNJz_uwYyVbHvI,Pokémon-Icon_518
577,0519,マメパト,,5,00,00,00,,マメパト,ノーマル,normal,ひこう,flying,50,55,50,36,30,43,264,はとむね,きょううん,とうそうしん,2.1,pm0522_00_00_00,,1mSB8gnIlNb_0s_P5nUZeerOBGbexw-X_,Pokémon-Icon_519
578,0520,ハトーボー,,5,00,00,00,,ハトーボー,ノーマル,normal,ひこう,flying,62,77,62,50,42,65,358,はとむね,きょううん,とうそうしん,15,pm0523_00_00_00,,1txw8LkmduPhinPd7uVS7GPabHU8i7bha,Pokémon-Icon_520
579,0521,ケンホロウ,,5,00,00,00,,ケンホロウ,ノーマル,normal,ひこう,flying,80,115,80,65,55,93,488,はとむね,きょううん,とうそうしん,29,pm0524_00_00_00,,1ZGu-1F8pDvBnkS68N_QpyWsN0lzXjkWH,Pokémon-Icon_521
580,0522,シママ,,5,00,00,00,,シママ,でんき,electric,なし,none,45,60,32,50,32,76,295,ひらいしん,でんきエンジン,そうしょく,29.8,pm0525_00_00_00,,1gNM_qCku_3PczH-HpDhExEdeFODVGNHX,Pokémon-Icon_522
581,0523,ゼブライカ,,5,00,00,00,,ゼブライカ,でんき,electric,なし,none,75,100,63,80,63,116,497,ひらいしん,でんきエンジン,そうしょく,79.5,pm0526_00_00_00,,14yIhHM8Swx9h0ABV4045g4mEJMIW_DkK,Pokémon-Icon_523
582,0524,ダンゴロ,,5,00,00,00,,ダンゴロ,いわ,rock,なし,none,55,75,85,25,25,15,280,がんじょう,くだけるよろい,すなのちから,18,pm0527_00_00_00,,1Q9LTsuzHEZwq3S-NVTyRNa-A-qoddH7E,Pokémon-Icon_524
583,0525,ガントル,,5,00,00,00,,ガントル,いわ,rock,なし,none,70,105,105,50,40,20,390,がんじょう,くだけるよろい,すなのちから,102,pm0528_00_00_00,,17teIKle8i4douaQnJT07hdTHYp0nMBNV,Pokémon-Icon_525
584,0526,ギガイアス,,5,00,00,00,,ギガイアス,いわ,rock,なし,none,85,135,130,60,80,25,515,がんじょう,すなおこし,すなのちから,260,pm0529_00_00_00,,1mf6p68ye85XAkLvYMmHIc204eEggnjRw,Pokémon-Icon_526
585,0527,コロモリ,,5,00,00,00,,コロモリ,エスパー,psychic,ひこう,flying,65,45,43,55,43,72,323,てんねん,ぶきよう,たんじゅん,2.1,pm0530_00_00_00,,16xF8n6Qu7wpxrv0oNsyhgHWT50masp-H,Pokémon-Icon_527
586,0528,ココロモリ,,5,00,00,00,,ココロモリ,エスパー,psychic,ひこう,flying,67,57,55,77,55,114,425,てんねん,ぶきよう,たんじゅん,10.5,pm0531_00_00_00,,1kvg8EbB50u6UTxgyRUh-O-UvEyqbx02j,Pokémon-Icon_528
587,0529,モグリュー,,5,00,00,00,,モグリュー,じめん,ground,なし,none,60,85,40,30,45,68,328,すなかき,すなのちから,かたやぶり,8.5,pm0532_00_00_00,,18Q3-g-qXr0LYfFGIglPEjFCIv18gcTZ-,Pokémon-Icon_529
588,0530,ドリュウズ,,5,00,00,00,,ドリュウズ,じめん,ground,はがね,steel,110,135,60,50,65,88,508,すなかき,すなのちから,かたやぶり,40.4,pm0533_00_00_00,,1F-HdYNzjpaJir5rfb1g2i1jIGf942yNL,Pokémon-Icon_530
589,0531,タブンネ,,5,00,00,00,,タブンネ,ノーマル,normal,なし,none,103,60,86,60,86,50,445,いやしのこころ,さいせいりょく,ぶきよう,31,pm0534_00_00_00,,1E9xnH26qeSxggf6t97wOgxi6VmfoDDWp,Pokémon-Icon_531
590,0532,ドッコラー,,5,00,00,00,,ドッコラー,かくとう,fighting,なし,none,75,80,55,25,35,35,305,こんじょう,ちからずく,てつのこぶし,12.5,pm0535_00_00_00,,1k7u9KtzbI-Ir7Zz9gy774DXen0kGD7jQ,Pokémon-Icon_532
591,0533,ドテッコツ,,5,00,00,00,,ドテッコツ,かくとう,fighting,なし,none,85,105,85,40,50,40,405,こんじょう,ちからずく,てつのこぶし,40,pm0536_00_00_00,,1uZWMahXmA2pZj4ff8K75-zhtUp1atEiZ,Pokémon-Icon_533
592,0534,ローブシン,,5,00,00,00,,ローブシン,かくとう,fighting,なし,none,105,140,95,55,65,45,505,こんじょう,ちからずく,てつのこぶし,87,pm0537_00_00_00,,1pCHcXd9w4Ew5xIjdewMe2A5sX39TbEmM,Pokémon-Icon_534
593,0535,オタマロ,,5,00,00,00,,オタマロ,みず,water,なし,none,50,50,40,50,40,64,294,すいすい,うるおいボディ,ちょすい,4.5,pm0538_00_00_00,,1nlvZUk3Okcva3J664aMmrIlnVh8EsQ7E,Pokémon-Icon_535
594,0536,ガマガル,,5,00,00,00,,ガマガル,みず,water,じめん,ground,75,65,55,65,55,69,384,すいすい,うるおいボディ,ちょすい,17,pm0539_00_00_00,,1CFup7zH8ptVN5j83w2IsBQSPqvozGmJO,Pokémon-Icon_536
595,0537,ガマゲロゲ,,5,00,00,00,,ガマゲロゲ,みず,water,じめん,ground,105,95,75,85,75,74,509,すいすい,どくしゅ,ちょすい,62,pm0540_00_00_00,,1aQs8Y1KHIftFP_1uA142zSMkx4X4KnoF,Pokémon-Icon_537
596,0538,ナゲキ,,5,00,00,00,,ナゲキ,かくとう,fighting,なし,none,120,100,85,30,85,45,465,こんじょう,せいしんりょく,かたやぶり,55.5,pm0541_00_00_00,,1dgmx0b92VH9CQeNVMOVn09W94TMVH4vS,Pokémon-Icon_538
597,0539,ダゲキ,,5,00,00,00,,ダゲキ,かくとう,fighting,なし,none,75,125,75,30,75,85,465,がんじょう,せいしんりょく,かたやぶり,51,pm0542_00_00_00,,15TirFgSOwqYfdHePzwFK1DVL1GyINDP8,Pokémon-Icon_539
598,0540,クルミル,,5,00,00,00,,クルミル,むし,bug,くさ,grass,45,53,70,40,60,42,310,むしのしらせ,ようりょくそ,ぼうじん,2.5,pm0543_00_00_00,,1-4L9xeGEW10jNFsNdAQ6fsk-dBvm3U80,Pokémon-Icon_540
599,0541,クルマユ,,5,00,00,00,,クルマユ,むし,bug,くさ,grass,55,63,90,50,80,42,380,リーフガード,ようりょくそ,ぼうじん,7.3,pm0544_00_00_00,,13gCMegoIUys-5yR0zi7_d_y6VJHP1aYw,Pokémon-Icon_541
600,0542,ハハコモリ,,5,00,00,00,,ハハコモリ,むし,bug,くさ,grass,75,103,80,70,80,92,500,むしのしらせ,ようりょくそ,ぼうじん,20.5,pm0545_00_00_00,,1viLoRRKVP0Gn2y7ra9JFgWzKkOsHmqh-,Pokémon-Icon_542
601,0543,フシデ,,5,00,00,00,,フシデ,むし,bug,どく,poison,30,45,59,30,39,57,260,どくのトゲ,むしのしらせ,かそく,5.3,pm0546_00_00_00,,1WoQ3h44BMB39gmFdscCBla5AlkBRlUx4,Pokémon-Icon_543
602,0544,ホイーガ,,5,00,00,00,,ホイーガ,むし,bug,どく,poison,40,55,99,40,79,47,360,どくのトゲ,むしのしらせ,かそく,58.5,pm0547_00_00_00,,1xjXS7lROre5qWyr0gFe8fHAxxxUfzjUu,Pokémon-Icon_544
603,0545,ペンドラー,,5,00,00,00,,ペンドラー,むし,bug,どく,poison,60,100,89,55,69,112,485,どくのトゲ,むしのしらせ,かそく,200.5,pm0548_00_00_00,1PrXhDfyFHbUqWHGdqAFx1Lva1isq9MCH,1gYV8eFcSAy4x7TJz2PJfcbhdrS4Sw4Z0,Pokémon-Icon_545
604,0546,モンメン,,5,00,00,00,,モンメン,くさ,grass,フェアリー,fairy,40,27,60,37,50,66,280,いたずらごころ,すりぬけ,ようりょくそ,0.6,pm0549_00_00_00,1y5s_zz5RrKGKt8-nm3LaHK9wJrorEEBS,1kKMRQYjvb1FleBPIK_5ql7c8mTc9m8vL,Pokémon-Icon_546
605,0547,エルフーン,,5,00,00,00,,エルフーン,くさ,grass,フェアリー,fairy,60,67,85,77,75,116,480,いたずらごころ,すりぬけ,ようりょくそ,6.6,pm0549_00_00_00,1y5s_zz5RrKGKt8-nm3LaHK9wJrorEEBS,1ghRexwCvFS7tpp90SqdFDZrwezs6EBFR,Pokémon-Icon_547
606,0548,チュリネ,,5,00,00,00,,チュリネ,くさ,grass,なし,none,45,35,50,70,50,30,280,ようりょくそ,マイペース,リーフガード,6.6,pm0550_11_00_00,1HqPuY2kiCxPaLqDleoFkgE_eJFSv_gvm,187dOTvpKa8LVch2G7WLMMaQIYRQOGAXi,Pokémon-Icon_548
607,0549,ドレディア,原種,5,00,00,00,,ドレディア(原種),くさ,grass,なし,none,70,60,75,110,75,90,480,ようりょくそ,マイペース,リーフガード,16.3,pm0550_12_00_00,1kRw8BjDR68yPx-glTeU56esI9wauASRb,1GJEOIzj3sIeNYPAxDQsDN4jPls8vAX1-,Pokémon-Icon_549
608,0549,ドレディア,ヒスイのすがた,8.5,00,41,00,a,ドレディア(ヒスイのすがた),くさ,grass,かくとう,fighting,70,105,75,50,75,105,480,ようりょくそ,はりきり,リーフガード,19.2,pm0551_00_00_00,1efiDwX0P8o4EOVKKyTslZRYh2tIwaRAI,1xdOxIqCk6bYRW9JmeW3V7OlVzaLflDh9,Pokémon-Icon_549a
609,0550,バスラオ,あおすじ,5,12,00,00,a,バスラオ(あおすじ),みず,water,なし,none,70,92,65,80,55,98,460,いしあたま,てきおうりょく,かたやぶり,18,pm0553_00_00_00,1yiTEhA0RlEOsMmzbw8DnHd6aTOrbWmqQ,1R4CRKxPYemO9p5yPemOA1ss2P2EoWVcR,Pokémon-Icon_550a
610,0550,バスラオ,あかすじ,5,11,00,00,,バスラオ(あかすじ),みず,water,なし,none,70,92,65,80,55,98,460,すてみ,てきおうりょく,かたやぶり,18,pm0552_00_00_00,1MiLSYIH6OUe5y0lsoVbKNLZ0fZcyuJ5Y,1wfVmwXl7Ct33lbpcGoF_5tmv2E6gtAfx,Pokémon-Icon_550
611,0550,バスラオ,しろすじ,8.5,00,41,00,b,バスラオ(しろすじ),みず,water,なし,none,70,92,65,80,55,98,460,びびり,てきおうりょく,かたやぶり,18,pm0553_00_00_00,1yiTEhA0RlEOsMmzbw8DnHd6aTOrbWmqQ,1BTRtQhZz84Se_lL8ww2-LGHD1sHm92fn,Pokémon-Icon_550b
612,0551,メグロコ,,5,00,00,00,,メグロコ,じめん,ground,あく,dark,50,72,35,35,35,65,292,いかく,じしんかじょう,いかりのつぼ,15.2,pm0554_00_00_00,,10RN3YkwRU7v5wWH0rLLXG1QgkJhSBuho,Pokémon-Icon_551
