名前,ID,育て方,ブースト,種族値,ランク,実数値,D,C,B,A,ブイズ,DLC,碧の仮面,藍の円盤,キタカミプロローグ
ニョロトノ,222,最速,,70,0,134,X,X,X,X,X,O,X,O,O
エアームド,268,最速,,70,0,134,X,X,X,X,X,O,O,X,X
カポエラー,278,最速,,70,0,134,X,X,X,X,X,O,O,X,X
キモリ,293,最速,,70,0,134,X,X,X,X,X,O,O,X,X
グラエナ,303,最速,,70,0,134,X,X,X,X,X,O,X,O,O
ルンパッパ,315,最速,,70,0,134,X,X,X,X,X,O,X,O,O
ビブラーバ,372,最速,,70,0,134,X,X,X,X,X,O,O,X,X
メタグロス,419,最速,,70,0,134,X,X,X,X,X,O,O,X,X
ニャビー,818,最速,,70,0,134,X,X,X,X,X,O,O,X,X
ヤバソチャ,1140,最速,,70,0,134,O,X,X,X,X,O,X,O,O
ギャラドス,162,準速,,81,0,133,O,O,O,O,X,X,X,X,O
コフーライ,743,最速,スカーフ,29,0,133,O,O,O,O,X,X,X,X,X
ヒバニー,916,最速,,69,0,133,O,X,X,X,X,X,X,X,X
ブリムオン,962,最速,スカーフ,29,0,133,O,O,O,O,X,X,X,X,O
チヲハウハネ,1112,準速,,81,0,133,O,O,O,O,X,X,X,X,X
ミロカロス,393,準速,,81,0,133,X,X,X,X,X,O,X,O,O
モウカザル,437,準速,,81,0,133,X,X,X,X,X,O,O,X,X
ジャローダ,554,無振,,113,0,133,X,X,X,X,X,O,O,X,X
リザード,4,準速,,80,0,132,O,X,X,X,X,X,X,X,X
ゴース,115,準速,,80,0,132,O,O,O,O,X,X,X,X,O
コイキング,161,準速,,80,0,132,O,O,O,O,X,X,X,X,O
カイリュー,184,準速,,80,0,132,O,O,O,O,X,X,X,X,X
マグマラシ,191,準速,,80,0,132,O,X,X,X,X,X,X,X,X
ポポッコ,224,準速,,80,0,132,O,O,O,O,X,X,X,X,X
サーナイト,325,準速,,80,0,132,O,O,O,O,X,X,X,X,O
アメモース,327,準速,,80,0,132,O,O,O,O,X,X,X,X,O
チャーレム,351,準速,,80,0,132,O,O,O,O,X,X,X,X,X
ブーピッグ,369,準速,,80,0,132,O,O,O,O,X,X,X,X,O
チルタリス,377,準速,,80,0,132,O,O,O,O,X,X,X,X,X
オニゴーリ,405,準速,,80,0,132,O,O,O,O,X,X,X,X,O
ムクバード,443,準速,,80,0,132,O,O,O,O,X,X,X,X,O
フワライド,474,準速,,80,0,132,O,O,O,O,X,X,X,X,X
エルレイド,523,準速,,80,0,132,O,O,O,O,X,X,X,X,O
エムリット,534,準速,,80,0,132,O,X,X,X,X,X,X,X,X
ウォーグル(原種),697,準速,,80,0,132,O,O,O,O,X,X,X,X,X
ゴーゴート,751,最速,,68,0,132,O,O,O,O,X,X,X,X,X
ヌメルゴン(原種),787,準速,,80,0,132,O,O,O,O,X,X,X,X,X
カチコール,800,最速,スカーフ,28,0,132,O,O,O,O,X,X,X,X,X
クレベース(原種),801,最速,スカーフ,28,0,132,O,O,O,O,X,X,X,X,X
ルガルガン(まひるのすがた),841,無振,,112,0,132,O,O,O,O,X,X,X,X,O
ナゲツケサル,865,準速,,80,0,132,O,O,O,O,X,X,X,X,X
バチンキー,914,準速,,80,0,132,O,X,X,X,X,X,X,X,X
ドラパルト,993,最遅,,142,0,132,O,O,O,O,X,X,X,X,X
レジドラゴ,1005,準速,,80,0,132,O,X,X,X,X,X,X,X,X
ホゲータ,1024,準速,スカーフ,36,0,132,O,O,O,O,X,X,X,X,X
ハカドッグ,1093,最速,,68,0,132,O,O,O,O,X,X,X,X,X
フーパ(ときはなたれしフーパ),812,準速,,80,0,132,X,X,X,X,X,X,X,X,X
バドレックス(通常),1008,準速,,80,0,132,X,X,X,X,X,X,X,X,X
フシギバナ,2,準速,,80,0,132,X,X,X,X,X,O,O,X,X
アーボック,25,準速,,80,0,132,X,X,X,X,X,O,X,O,O
メガニウム,189,準速,,80,0,132,X,X,X,X,X,O,O,X,X
バシャーモ,298,準速,,80,0,132,X,X,X,X,X,O,O,X,X
ダーテング,318,準速,,80,0,132,X,X,X,X,X,O,X,O,O
ヒンバス,392,準速,,80,0,132,X,X,X,X,X,O,X,O,O
ハヤシガメ,434,準速,スカーフ,36,0,132,X,X,X,X,X,O,O,X,X
マンムー,521,準速,,80,0,132,X,X,X,X,X,O,X,O,O
モグリュー,587,最速,,68,0,132,X,X,X,X,X,O,X,X,X
シャンデラ,677,準速,,80,0,132,X,X,X,X,X,O,X,O,O
バルジーナ,700,準速,,80,0,132,X,X,X,X,X,O,X,O,O
ニャスパー,755,最速,,68,0,132,X,X,X,X,X,O,O,X,X
デンヂムシ,830,準速,スカーフ,36,0,132,X,X,X,X,X,O,X,O,O
イイネイヌ,1141,準速,,80,0,132,O,X,X,X,X,O,X,X,O
トルネロス(けしんフォルム),711,無振,,111,0,131,O,X,X,X,X,X,X,X,X
ボルトロス(けしんフォルム),713,無振,,111,0,131,O,X,X,X,X,X,X,X,X
イッカネズミ(3びきかぞく),1041,無振,,111,0,131,O,O,O,O,X,X,X,X,O
サケブシッポ,1109,無振,,111,0,131,O,O,O,O,X,X,X,X,X
ライチュウ(原種),27,無振,,110,0,130,O,O,O,O,X,X,X,X,O
ライチュウ(アローラのすがた),28,無振,,110,0,130,O,X,X,X,X,X,X,X,O
ダグトリオ(アローラのすがた),59,無振,,110,0,130,O,X,X,X,X,X,X,X,X
ゲンガー,117,無振,,110,0,130,O,O,O,O,X,X,X,X,O
スリーパー,120,最速,,67,0,130,O,O,O,O,X,X,X,X,X
ケンタロス(原種),157,無振,,110,0,130,O,O,O,O,X,X,X,X,X
メリープ,215,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
ワタッコ,225,無振,,110,0,130,O,O,O,O,X,X,X,X,X
ヌオー,232,準速,スカーフ,35,0,130,O,X,X,X,X,X,X,X,O
エーフィ,233,無振,,110,0,130,O,O,O,O,O,X,X,X,X
キノココ,328,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
キノココ,328,準速,はやあし,35,1,130,O,O,O,O,X,X,X,X,X
ドンメル,365,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
サボネア,374,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
ミカルゲ,490,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
ユキメノコ,526,無振,,110,0,130,O,O,O,O,X,X,X,X,O
ゾロアーク(ヒスイのすがた),639,無振,,110,0,130,O,X,X,X,X,X,X,X,X
オノンド,679,最速,,67,0,130,O,O,O,O,X,X,X,X,X
コフキムシ,742,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
ルガルガン(たそがれのすがた),843,無振,,110,0,130,O,O,O,O,X,X,X,X,O
ドヒドイデ,847,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
バンバドロ,849,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,O
カリキリ,852,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,O
シロデスナ,869,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
アーマーガア,926,最速,,67,0,130,O,O,O,O,X,X,X,X,X
イダイトウ(メスのすがた),1016,準速,,78,0,130,O,X,X,X,X,X,X,X,O
イダイトウ(オスのすがた),1015,準速,,78,0,130,O,X,X,X,X,X,X,X,O
グルトン,1030,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
ワナイダー,1034,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
ジオヅム,1053,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
キョジオーン,1054,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
カルボウ,1055,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
タギングル,1065,無振,,110,0,130,O,O,O,O,X,X,X,X,X
ナカヌチャン,1078,準速,,78,0,130,O,O,O,O,X,X,X,X,X
ヘイラッシャ,1098,準速,スカーフ,35,0,130,O,O,O,O,X,X,X,X,X
テツノドクガ,1118,無振,,110,0,130,O,O,O,O,X,X,X,X,X
カメックス,8,準速,,78,0,130,X,X,X,X,X,O,O,X,X
ピッピ,39,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
ゴローン(原種),89,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
ゴローン(アローラのすがた),90,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
ドードリオ,106,無振,,110,0,130,X,X,X,X,X,O,O,X,X
ドガース,136,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
オーダイル,196,準速,,78,0,130,X,X,X,X,X,O,O,X,X
チョンチー,206,最速,,67,0,130,X,X,X,X,X,O,X,X,X
ランターン,207,最速,,67,0,130,X,X,X,X,X,O,X,X,X
バルキー,277,準速,スカーフ,35,0,130,X,X,X,X,X,O,O,X,X
バルキー,277,準速,ふくつのこころ,35,1,130,X,X,X,X,X,O,O,X,X
ポチエナ,302,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
ポチエナ,302,準速,はやあし,35,1,130,X,X,X,X,X,O,X,O,O
ポチエナ,302,準速,びびり,35,1,130,X,X,X,X,X,O,X,O,O
ヘイガニ,384,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
ドッコラー,590,準速,スカーフ,35,0,130,X,X,X,X,X,O,X,O,O
ゴビット,691,準速,スカーフ,35,0,130,X,X,X,X,X,O,O,X,X
オーガポン(みどりのめん),1144,無振,,110,0,130,O,X,X,X,X,O,X,X,O
オーガポン(いどのめん),1145,無振,,110,0,130,O,X,X,X,X,O,X,X,O
オーガポン(かまどのめん),1146,無振,,110,0,130,O,X,X,X,X,O,X,X,O
オーガポン(いしずえのめん),1147,無振,,110,0,130,O,X,X,X,X,O,X,X,O
カラナクシ,470,準速,スカーフ,34,0,129,O,O,O,O,X,X,X,X,X
ケイコウオ,504,最速,,66,0,129,O,O,O,O,X,X,X,X,X
ヒードラン,540,準速,,77,0,129,O,X,X,X,X,X,X,X,X
ヤトウモリ,856,準速,,77,0,129,O,O,O,O,X,X,X,X,O
アオガラス,925,準速,,77,0,129,O,O,O,O,X,X,X,X,X
サシカマス,949,最速,,66,0,129,O,O,O,O,X,X,X,X,O
ラウドボーン,1026,最速,,66,0,129,O,O,O,O,X,X,X,X,X
ボチ,1092,準速,スカーフ,34,0,129,O,O,O,O,X,X,X,X,X
ウネルミナモ,1136,無振,,109,0,129,X,X,X,X,X,X,X,X,X
キュウコン(アローラのすがた),44,無振,,109,0,129,X,X,X,X,X,O,X,O,O
モンメン,604,最速,,66,0,129,X,X,X,X,X,O,O,X,X
シズクモ,850,最速,スカーフ,27,0,129,X,X,X,X,X,O,X,X,X
マホミル,972,準速,スカーフ,34,0,129,X,X,X,X,X,O,O,X,X
ヒトカゲ,3,最速,,65,0,128,O,X,X,X,X,X,X,X,X
シャワーズ,166,最速,,65,0,128,O,O,O,O,O,X,X,X,X
ブースター,168,最速,,65,0,128,O,O,O,O,O,X,X,X,X
ヒノアラシ,190,最速,,65,0,128,O,X,X,X,X,X,X,X,X
ブラッキー,234,最速,,65,0,128,O,O,O,O,O,X,X,X,X
ハッサム,251,最速,,65,0,128,O,O,O,O,X,X,X,X,X
デルビル,269,最速,,65,0,128,O,O,O,O,X,X,X,X,O
ペリッパー,322,最速,,65,0,128,O,O,O,O,X,X,X,X,X
アメタマ,326,最速,,65,0,128,O,O,O,O,X,X,X,X,O
ハブネーク,379,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ジュペッタ,397,最速,,65,0,128,O,O,O,O,X,X,X,X,X
コロトック,448,最速,,65,0,128,O,O,O,O,X,X,X,X,O
グレイシア,519,最速,,65,0,128,O,O,O,O,O,X,X,X,X
メグロコ,612,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ゾロア(原種),636,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ゴチルゼル,644,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ママンボウ,662,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ウォーグル(ヒスイのすがた),698,最速,,65,0,128,O,X,X,X,X,X,X,X,X
ネッコアラ,875,最速,,65,0,128,O,O,O,O,X,X,X,X,X
サルノリ,913,最速,,65,0,128,O,X,X,X,X,X,X,X,X
モスノウ,977,最速,,65,0,128,O,O,O,O,X,X,X,X,X
アヤシシ,1011,最速,,65,0,128,O,X,X,X,X,X,X,X,O
ニャオハ,1021,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ウェルカモ,1028,最速,,65,0,128,O,O,O,O,X,X,X,X,X
パフュートン(オスのすがた),1031,最速,,65,0,128,O,O,O,O,X,X,X,X,X
パフュートン(メスのすがた),1032,最速,,65,0,128,O,O,O,O,X,X,X,X,X
パピモッチ,1043,最速,,65,0,128,O,O,O,O,X,X,X,X,X
ミミズズ,1089,最速,,65,0,128,O,O,O,O,X,X,X,X,O
テツノコウベ,1117,無振,,108,0,128,O,O,O,O,X,X,X,X,X
マギアナ,904,最速,,65,0,128,X,X,X,X,X,X,X,X,X
ザシアン(れきせんのゆうしゃ),995,最遅,,138,0,128,X,X,X,X,X,X,X,X,X
ザマゼンタ(れきせんのゆうしゃ),997,最遅,,138,0,128,X,X,X,X,X,X,X,X,X
サンドパン(原種),31,最速,,65,0,128,X,X,X,X,X,O,X,O,O
サンドパン(アローラのすがた),32,最速,,65,0,128,X,X,X,X,X,O,X,O,O
ロコン(原種),41,最速,,65,0,128,X,X,X,X,X,O,X,O,O
ロコン(アローラのすがた),42,最速,,65,0,128,X,X,X,X,X,O,X,O,O
エビワラー,134,準速,,76,0,128,X,X,X,X,X,O,O,X,X
チリーン,401,最速,,65,0,128,X,X,X,X,X,O,X,O,O
ゴウカザル,438,無振,,108,0,128,X,X,X,X,X,O,O,X,X
エンブオー,557,最速,,65,0,128,X,X,X,X,X,O,O,X,X
シママ,580,準速,,76,0,128,X,X,X,X,X,O,O,X,X
デンチュラ,664,無振,,108,0,128,X,X,X,X,X,O,X,X,X
コジョフー,688,最速,,65,0,128,X,X,X,X,X,O,X,O,O
ツツケラ,824,最速,,65,0,128,X,X,X,X,X,O,O,X,X
ジャランゴ,883,最速,,65,0,128,X,X,X,X,X,O,X,O,O
デリバード,266,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ドータクン,485,準速,スカーフ,33,0,127,O,O,O,O,X,X,X,X,O
シキジカ,653,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ブリガロン,729,最速,,64,0,127,O,X,X,X,X,X,X,X,X
フラージェス,749,準速,,75,0,127,O,O,O,O,X,X,X,X,X
クレッフィ,789,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ストリンダー(ハイなすがた),952,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ストリンダー(ローなすがた),953,準速,,75,0,127,O,O,O,O,X,X,X,X,X
タイレーツ,974,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ワッカネズミ,1040,準速,,75,0,127,O,O,O,O,X,X,X,X,O
オリーニョ,1046,準速,スカーフ,33,0,127,O,O,O,O,X,X,X,X,X
グレンアルマ,1056,準速,,75,0,127,O,O,O,O,X,X,X,X,X
シルシュルー,1064,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ガケガニ,1070,準速,,75,0,127,O,O,O,O,X,X,X,X,X
スコヴィラン,1072,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ヒラヒナ,1075,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ナミイルカ,1083,準速,,75,0,127,O,O,O,O,X,X,X,X,X
ドードー,105,準速,,75,0,127,X,X,X,X,X,O,O,X,X
ドーブル,276,準速,,75,0,127,X,X,X,X,X,O,O,X,X
チラーミィ,640,準速,,75,0,127,X,X,X,X,X,O,O,X,X
ケララッパ,825,準速,,75,0,127,X,X,X,X,X,O,O,X,X
マホイップ,973,最速,,64,0,127,X,X,X,X,X,O,O,X,X
ベトベター(原種),109,最速,スカーフ,25,0,126,O,O,O,O,X,X,X,X,X
ベトベター(アローラのすがた),110,最速,スカーフ,25,0,126,O,X,X,X,X,X,X,X,X
マクノシタ,339,最速,スカーフ,25,0,126,O,O,O,O,X,X,X,X,X
コロボーシ,447,最速,スカーフ,25,0,126,O,O,O,O,X,X,X,X,O
スカンプー,482,準速,,74,0,126,O,O,O,O,X,X,X,X,X
ヒポポタス,497,準速,スカーフ,32,0,126,O,O,O,O,X,X,X,X,X
ワルビル,613,準速,,74,0,126,O,O,O,O,X,X,X,X,X
カエンジシ,746,無振,,106,0,126,O,O,O,O,X,X,X,X,X
マケンカニ,832,最速,,63,0,126,O,O,O,O,X,X,X,X,X
アマカジ,860,準速,スカーフ,32,0,126,O,O,O,O,X,X,X,X,X
ホシガリス,922,最速,スカーフ,25,0,126,O,O,O,O,X,X,X,X,O
カジリガメ,937,準速,,74,0,126,O,O,O,O,X,X,X,X,O
カマスジョー,950,最遅,,136,0,126,O,O,O,O,X,X,X,X,O
ラブトロス(けしんフォルム),1019,無振,,106,0,126,O,X,X,X,X,X,X,X,X
コジオ,1052,最速,スカーフ,25,0,126,O,O,O,O,X,X,X,X,X
ハバタクカミ,1111,最遅,,135,0,126,O,O,O,O,X,X,X,X,X
テツノワダチ,1114,無振,,106,0,126,O,O,O,O,X,X,X,X,X
テツノツツミ,1115,最遅,,136,0,126,O,O,O,O,X,X,X,X,X
パオジアン,1127,最遅,,135,0,126,O,O,X,X,X,X,X,X,X
コライドン(バトルフォルム),1132,最遅,,135,0,126,X,X,X,X,X,X,X,X,X
ミライドン(バトルフォルム),1134,最遅,,135,0,126,X,X,X,X,X,X,X,X,X
サイホーン,139,最速,スカーフ,25,0,126,X,X,X,X,X,O,O,X,X
ヨマワル,398,最速,スカーフ,25,0,126,X,X,X,X,X,O,X,O,O
サマヨール,399,最速,スカーフ,25,0,126,X,X,X,X,X,O,X,O,O
ツタージャ,552,最速,,63,0,126,X,X,X,X,X,O,O,X,X
マシマシラ,1142,無振,,106,0,126,O,X,X,X,X,O,X,X,O
ストライク,152,無振,,105,0,125,O,O,O,O,X,X,X,X,X
ムウマージ,477,無振,,105,0,125,O,O,O,O,X,X,X,X,X
ドレディア(ヒスイのすがた),608,無振,,105,0,125,O,X,X,X,X,X,X,X,O
ゾロアーク(原種),638,無振,,105,0,125,O,O,O,O,X,X,X,X,X
フリージオ,683,無振,,105,0,125,O,O,O,O,X,X,X,X,X
テールナー,731,準速,,73,0,125,O,X,X,X,X,X,X,X,X
ヤヤコマ,739,最速,,62,0,125,O,O,O,O,X,X,X,X,X
アママイコ,861,最速,,62,0,125,O,O,O,O,X,X,X,X,X
パーモット,1039,無振,,105,0,125,O,O,O,O,X,X,X,X,X
クエスパトラ,1076,無振,,105,0,125,O,O,O,O,X,X,X,X,X
ハルクジラ,1096,準速,,73,0,125,O,O,O,O,X,X,X,X,X
セゴール,1121,最速,,62,0,125,O,O,O,O,X,X,X,X,X
ザルード,1003,無振,,105,0,125,X,X,X,X,X,X,X,X,X
エレブー,154,無振,,105,0,125,X,X,X,X,X,O,X,X,X
コジョンド,689,無振,,105,0,125,X,X,X,X,X,O,X,O,O
カラマネロ,767,準速,,73,0,125,X,X,X,X,X,O,O,X,X
バンギラス,289,最速,,61,0,124,O,O,O,O,X,X,X,X,X
マフォクシー,732,無振,,104,0,124,O,X,X,X,X,X,X,X,X
シシコ,745,準速,,72,0,124,O,O,O,O,X,X,X,X,X
アマージョ,862,準速,,72,0,124,O,O,O,O,X,X,X,X,X
ダクマ,1000,準速,,72,0,124,O,X,X,X,X,X,X,X,X
テツノイバラ,1119,準速,,72,0,124,O,O,O,O,X,X,X,X,X
テツノイサハ,1137,無振,,104,0,124,X,X,X,X,X,X,X,X,X
ナエトル,433,準速,スカーフ,31,0,124,X,X,X,X,X,O,O,X,X
ヒコザル,436,最速,,61,0,124,X,X,X,X,X,O,O,X,X
ニャオニクス(オスのすがた),756,無振,,104,0,124,X,X,X,X,X,O,O,X,X
ニャオニクス(メスのすがた),757,無振,,104,0,124,X,X,X,X,X,O,O,X,X
ガーディ(原種),69,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ヤドラン(原種),99,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
ヤドラン(ガラルのすがた),100,準速,スカーフ,30,0,123,O,X,X,X,X,X,X,X,X
ピチュー,208,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ウソッキー,221,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,O
ウソッキー,221,準速,びびり,30,1,123,O,O,O,O,X,X,X,X,O
ヒマナッツ,227,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
キマワリ,228,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
ヤドキング(原種),236,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
ヤドキング(ガラルのすがた),237,準速,スカーフ,30,0,123,O,X,X,X,X,X,X,X,X
ナマケロ,330,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
アサナン,350,最速,,60,0,123,O,O,O,O,X,X,X,X,X
バネブー,368,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ドジョッチ,382,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ナマズン,383,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ムックル,442,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ルクシオ,450,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ドンカラス,478,準速,,71,0,123,O,O,O,O,X,X,X,X,X
ドーミラー,484,最速,スカーフ,23,0,123,O,O,O,O,X,X,X,X,O
ピンプク,488,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
リオル,495,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ユキノオー,508,最速,,60,0,123,O,O,O,O,X,X,X,X,X
ジバコイル,510,最速,,60,0,123,O,O,O,O,X,X,X,X,X
フタチマル,559,最速,,60,0,123,O,X,X,X,X,X,X,X,X
チュリネ,606,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,O
モロバレル,659,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
シビシラス,670,最速,,60,0,123,O,O,O,O,X,X,X,X,O
コマタナ,693,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ワシボン,696,最速,,60,0,123,O,O,O,O,X,X,X,X,X
メラルバ,706,最速,,60,0,123,O,O,O,O,X,X,X,X,X
フォッコ,730,最速,,60,0,123,O,X,X,X,X,X,X,X,X
ケロマツ,733,準速,,71,0,123,O,X,X,X,X,X,X,X,X
クズモー,770,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
ニンフィア,780,最速,,60,0,123,O,O,O,O,O,X,X,X,X
ヌメイル(原種),785,最速,,60,0,123,O,O,O,O,X,X,X,X,X
ヌメルゴン(ヒスイのすがた),788,最速,,60,0,123,O,X,X,X,X,X,X,X,X
ジュナイパー(ヒスイのすがた),817,最速,,60,0,123,O,X,X,X,X,X,X,X,X
イワンコ,840,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ヤレユータン,864,最速,,60,0,123,O,O,O,O,X,X,X,X,X
タンドン,940,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
セキタンザン,942,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
タルップル,945,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,O
サダイジャ,947,準速,,71,0,123,O,O,O,O,X,X,X,X,X
オーロンゲ,965,最速,,60,0,123,O,O,O,O,X,X,X,X,O
ダイオウドウ,985,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
ブリザポス,1006,準速,スカーフ,30,0,123,O,X,X,X,X,X,X,X,X
パモ,1037,最速,,60,0,123,O,O,O,O,X,X,X,X,X
ミニーブ,1045,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
アノクサ,1066,最速,,60,0,123,O,O,O,O,X,X,X,X,X
シガロコ,1073,準速,スカーフ,30,0,123,O,O,O,O,X,X,X,X,X
キラーメ,1090,最速,,60,0,123,O,O,O,O,X,X,X,X,O
リキキリン,1104,最速,,60,0,123,O,O,O,O,X,X,X,X,X
フシギソウ,1,最速,,60,0,123,X,X,X,X,X,O,O,X,X
ピクシー,40,最速,,60,0,123,X,X,X,X,X,O,X,O,O
ナゾノクサ,49,準速,スカーフ,30,0,123,X,X,X,X,X,O,O,X,X
マタドガス(原種),137,最速,,60,0,123,X,X,X,X,X,O,X,O,O
マタドガス(ガラルのすがた),138,最速,,60,0,123,X,X,X,X,X,O,X,O,O
タッツー,144,最速,,60,0,123,X,X,X,X,X,O,O,X,X
ラプラス,163,最速,,60,0,123,X,X,X,X,X,O,O,X,X
カビゴン,175,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,O,O
ベイリーフ,188,最速,,60,0,123,X,X,X,X,X,O,O,X,X
イトマル,203,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,O,O
ブルー,247,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,X,X
ブルー,247,準速,びびり,30,1,123,X,X,X,X,X,O,X,X,X
マグカルゴ,259,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,O,O
ポリゴン2,274,最速,,60,0,123,X,X,X,X,X,O,X,X,X
ラグラージ,301,最速,,60,0,123,X,X,X,X,X,O,O,X,X
ハスボー,313,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,O,O
タネボー,316,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,O,O
コノハナ,317,最速,,60,0,123,X,X,X,X,X,O,X,O,O
ノズパス,342,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,X,X
ダンバル,417,準速,スカーフ,30,0,123,X,X,X,X,X,O,O,X,X
エンペルト,441,最速,,60,0,123,X,X,X,X,X,O,O,X,X
タテトプス,456,準速,スカーフ,30,0,123,X,X,X,X,X,O,O,X,X
トリデプス,457,準速,スカーフ,30,0,123,X,X,X,X,X,O,O,X,X
ダブラン,646,準速,スカーフ,30,0,123,X,X,X,X,X,O,O,X,X
ランクルス,647,準速,スカーフ,30,0,123,X,X,X,X,X,O,O,X,X
バルチャイ,699,最速,,60,0,123,X,X,X,X,X,O,X,O,O
ガオガエン,820,最速,,60,0,123,X,X,X,X,X,O,O,X,X
アシレーヌ,823,最速,,60,0,123,X,X,X,X,X,O,O,X,X
ドデカバシ,826,最速,,60,0,123,X,X,X,X,X,O,O,X,X
ノズパス,342,準速,スカーフ,30,0,123,X,X,X,X,X,O,X,O,O
マンキー,67,準速,,70,0,122,O,O,O,O,X,X,X,X,O
レアコイル,102,準速,,70,0,122,O,O,O,O,X,X,X,X,X
パルシェン,114,準速,,70,0,122,O,O,O,O,X,X,X,X,X
ハクリュー,183,準速,,70,0,122,O,O,O,O,X,X,X,X,X
キノガッサ,329,準速,,70,0,122,O,O,O,O,X,X,X,X,X
レントラー,451,準速,,70,0,122,O,O,O,O,X,X,X,X,O
ミツハニー,463,準速,,70,0,122,O,O,O,O,X,X,X,X,X
フワンテ,473,準速,,70,0,122,O,O,O,O,X,X,X,X,X
ガブリアス,493,無振,,102,0,122,O,O,O,O,X,X,X,X,O
ダイケンキ(原種),560,準速,,70,0,122,O,X,X,X,X,X,X,X,X
ゾロア(ヒスイのすがた),637,準速,,70,0,122,O,X,X,X,X,X,X,X,X
キリキザン,694,準速,,70,0,122,O,O,O,O,X,X,X,X,O
ブロスター,773,最速,,59,0,122,O,O,O,O,X,X,X,X,X
ジュナイパー(原種),816,準速,,70,0,122,O,X,X,X,X,X,X,X,X
メッソン,919,準速,,70,0,122,O,X,X,X,X,X,X,X,X
アップリュー,944,準速,,70,0,122,O,O,O,O,X,X,X,X,O
ポットデス,959,準速,,70,0,122,O,O,O,O,X,X,X,X,X
