ID,英語,日本語
1638,King’s Leaf,キングリーフ
1639,Marsh Balm,シズメダマ２
1640,Poké Ball,モンスターボール
1641,Great Ball,スーパーボール
1642,Ultra Ball,ハイパーボール
1643,Feather Ball,クラフトレシピ４１
1644,Pokéshi Doll,ポケモンこけし
1645,???,クラフトレシピ０６
1646,Smoke Bomb,クラフトレシピ０７
1647,Scatter Bang,ばりばりだま
1648,Sticky Glob,ねばりだま
1649,Star Piece,クラフトレシピ１０
1650,Mushroom Cake,クラフトレシピ１１
1651,Bugwort,むらさきハーブ
1652,Honey Cake,クラフトレシピ１２
1653,Grain Cake,クラフトレシピ１３
1654,Bean Cake,クラフトレシピ１４
1655,Salt Cake,クラフトレシピ１５
1656,Potion,クラフトレシピ１６
1657,Super Potion,クラフトレシピ１７
1658,Hyper Potion,クラフトレシピ１８
1659,Max Potion,クラフトレシピ１９
1660,Full Restore,クラフトレシピ２０
1661,Remedy,クラフトレシピ２１
1662,Fine Remedy,クラフトレシピ２２
1663,Superb Remedy,クラフトレシピ２３
1664,Old Gateau,クラフトレシピ２４
1665,Jubilife Muffin,クラフトレシピ２５
1666,Full Heal,クラフトレシピ２６
1667,Revive,クラフトレシピ２７
1668,Max Revive,クラフトレシピ２８
1669,Max Ether,クラフトレシピ２９
1670,Max Elixir,クラフトレシピ３０
1671,Stealth Spray,クラフトレシピ３１
1672,???,？？？
1673,Aux Power,クラフトレシピ３３
1674,Aux Guard,クラフトレシピ３４
1675,Dire Hit,クラフトレシピ３５
1676,Aux Evasion,クラフトレシピ３６
1677,Aux Powerguard,クラフトレシピ３７
1678,Forest Balm,しずめダマ
1679,Iron Chunk,てつのかけら
1680,???,？？？
1681,Black Tumblestone,くろいろたまいし
1682,Sky Tumblestone,そらいろたまいし
1683,???,？？？
1684,Ball of Mud,どろだんご
1685,???,？？？
1686,Pop Pod,バリバリモズク
1687,Sootfoot Root,ケムリイモ
1688,Spoiled Apricorn,むしくいぼんぐり
1689,Snowball,ゆきだま
1690,Sticky Glob,ねばりだま
1691,Black Augurite,くろのきせき
1692,Peat Block,ピートブロック
1693,Stealth Spray,むしよけスプレー
1694,Medicinal Leek,クスリソウ
1695,Vivichoke,ゲンキツボミ
1696,Pep-Up Plant,ピーピーグサ
1697,???,？？？
1698,???,？？？
1699,Tempting Charm B,ふしぎなおまもり２（仮）
1700,Tempting Charm P,ふしぎなおまもり３（仮）
1701,Swordcap,ツルギマイタケ
1702,Iron Barktongue,テッペキクラゲ
1703,Doppel Bonnets,カゲブンシメジ（仮）
1704,Direshroom,キュウショウロ（仮）
1705,Sand Radish,すなはまダイコン
1706,Tempting Charm T,ふしぎなおまもり４（仮）
1707,Tempting Charm Y,ふしぎなおまもり５（仮）
1708,Candy Truffle,スイートトリュフ
1709,Cake-Lure Base,よせだまのもと
1710,Poké Ball,モンスターボール
1711,Great Ball,スーパーボール
1712,Ultra Ball,ハイパーボール
1713,Feather Ball,フェザーボール
1714,???,アーチボール
1715,???,とくしゅボール
1716,Scatter Bang,ビビリだま
1717,Smoke Bomb,けむりだま
1718,???,？？？
1719,???,？？？
1720,Pokéshi Doll,ポケモンこけし
1721,Volcano Balm,かざんのシズメダマ
1722,Mountain Balm,やまのシズメダマ
1723,Snow Balm,ゆきのシズメダマ
1724,Honey Cake,ミツよせだま
1725,Grain Cake,イナホよせだま
1726,Bean Cake,マメよせだま
1727,Mushroom Cake,キノコよせだま
1728,Salt Cake,ミネラルよせだま
1729,Swap Snack,クラフトレシピ３８
1730,Choice Dumpling,クラフトレシピ３９
1731,Twice-Spiced Radish,クラフトレシピ４０
1732,Survival Charm R,あんぜんおまもり１
1733,Survival Charm B,あんぜんおまもり２
1734,Survival Charm P,あんぜんおまもり３
1735,Survival Charm T,あんぜんおまもり４
1736,Survival Charm Y,あんぜんおまもり５
1737,Torn Journal,やぶれたにっき
1738,Warding Charm R,けんこうおまもり１
1739,Warding Charm B,けんこうおまもり２
1740,Warding Charm P,けんこうおまもり３
1741,Warding Charm T,けんこうおまもり４
1742,Warding Charm Y,けんこうおまもり５
1743,Wall Fragment,せきばんのかけら
1744,Basculegion Food,イダイトウだんご
1745,Old Journal,ふるいにっき
1746,Wing Ball,ウイングボール
1747,Jet Ball,ジェットボール
1748,Heavy Ball,ヘビーボール
1749,Leaden Ball,メガトンボール
1750,Gigaton Ball,ギガトンボール
1751,Wing Ball,ウイングボール
1752,Jet Ball,クラフトレシピ４２
1753,Heavy Ball,クラフトレシピ４３
1754,Hopo Berry,ポフのみ
1755,Superb Remedy,すごいカンポーやく
1756,Aux Power,アタックアップ
1757,Aux Guard,ディフェンスアップ
1758,Aux Evasion,ヨクアタラーヌ
1759,Grit Dust,ガンバリのすな
1760,Grit Gravel,ガンバリのじゃり
1761,Grit Pebble,ガンバリのいし
1762,Grit Rock,ガンバリのいわ
1763,Secret Medicine,ガンバリセット
1764,Tempting Charm R,ふしぎなおまもり
1765,Lost Satchel,だれかのポーチ
1766,Lost Satchel,だれかのポーチ
1767,Lost Satchel,だれかのポーチ
1768,Lost Satchel,だれかのポーチ
1769,Lost Satchel,だれかのポーチ
1770,???,スマートフォン
1771,Origin Ball,オリジンボール
1772,???,だれかのきんちゃく
1773,???,タマカゴ
1774,???,だんいんしょう
1775,???,くさりのはへん
1776,Origin Ore,オリジンこうせき
1777,Adamant Crystal,だいこんごうだま
1778,Lustrous Globe,だいしらたま
1779,Griseous Core,だいはっきんだま
1780,Blank Plate,まっさらプレート
1781,???,？？？
1782,Crafting Kit,クラフトキット
1783,Leaden Ball,クラフトレシピ４４
1784,Gigaton Ball,クラフトレシピ４５
1785,Strange Ball,ストレンジボール
1786,Pokédex,ポケモンずかん
1787,Old Verse 1,ふるいポエム１
1788,Old Verse 2,ふるいポエム２
1789,Old Verse 3,ふるいポエム３
1790,Old Verse 4,ふるいポエム４
1791,???,アルセウスフォン
1792,Old Verse 5,ふるいポエム５
1793,Old Verse 6,ふるいポエム６
1794,Old Verse 7,ふるいポエム７
1795,Old Verse 8,ふるいポエム８
1796,Old Verse 9,ふるいポエム９
1797,Old Verse 10,ふるいポエム１０
1798,Old Verse 11,ふるいポエム１１
1799,Old Verse 12,ふるいポエム１２
1800,Old Verse 13,ふるいポエム１３
1801,Old Verse 14,ふるいポエム１４
1802,Old Verse 15,ふるいポエム１５
1803,Old Verse 16,ふるいポエム１６
1804,Old Verse 17,ふるいポエム１７
1805,Old Verse 18,ふるいポエム１８
1806,Old Verse 19,ふるいポエム１９
1807,Old Verse 20,ふるいポエム２０
1808,Mysterious Shard S,なぞのかけらＳ
1809,Mysterious Shard L,なぞのかけらＬ
1810,Digger Drill,あなほりドリル
1811,Kanto Slate,カントーのせきばん
1812,Johto Slate,ジョウトのせきばん
1813,Soul Slate,こころのせきばん
1814,Rainbow Slate,にじのせきばん
1815,Squall Slate,あらしのせきばん
1816,Oceanic Slate,たいかいのせきばん
1817,Tectonic Slate,たいりくのせきばん
1818,Stratospheric Slate,てんくうのせきばん
1819,Genome Slate,いでんしのせきばん
1820,Discovery Slate,みちびきのせきばん
1821,Distortion Slate,やぶれたせきばん
1822,DS Sounds,ＤＳプレイヤー
1823,,
1824,,
1825,,
1826,,
1827,,
1828,Legend Plate,レジェンドプレート
1829,Rotom Phone,スマホロトム
1830,Sandwich,サンドウィッチ
1831,Koraidon’s Poké Ball,コライドンのボール
1832,Miraidon’s Poké Ball,ミライドンのボール
1833,Tera Orb,テラスタルオーブ
1834,Scarlet Book,スカーレットブック
1835,Violet Book,バイオレットブック
1836,Kofu’s Wallet,ハイダイのサイフ
1837,,
1838,,
1839,,
1840,,
1841,,
1842,Tiny Bamboo Shoot,ちいさなタケノコ
1843,Big Bamboo Shoot,おおきなタケノコ
1844,,
1845,,
1846,,
1847,,
1848,,
1849,,
1850,,
1851,,
1852,,
1853,,
1854,,
1855,,
1856,,
1857,Scroll of Darkness,あくのかけじく
1858,Scroll of Waters,みずのかけじく
1859,,
1860,,
1861,Malicious Armor,ノロイノヨロイ
1862,Normal Tera Shard,テラピースノーマル
1863,Fire Tera Shard,テラピースほのお
1864,Water Tera Shard,テラピースみず
1865,Electric Tera Shard,テラピースでんき
1866,Grass Tera Shard,テラピースくさ
1867,Ice Tera Shard,テラピースこおり
1868,Fighting Tera Shard,テラピースかくとう
1869,Poison Tera Shard,テラピースどく
1870,Ground Tera Shard,テラピースじめん
1871,Flying Tera Shard,テラピースひこう
1872,Psychic Tera Shard,テラピースエスパー
1873,Bug Tera Shard,テラピースむし
1874,Rock Tera Shard,テラピースいわ
1875,Ghost Tera Shard,テラピースゴースト
1876,Dragon Tera Shard,テラピースドラゴン
1877,Dark Tera Shard,テラピースあく
1878,Steel Tera Shard,テラピースはがね
1879,Fairy Tera Shard,テラピースフェアリー
1880,Booster Energy,ブーストエナジー
1881,Ability Shield,とくせいガード
1882,Clear Amulet,クリアチャーム
1883,Mirror Herb,ものまねハーブ
1884,Punching Glove,パンチグローブ
1885,Covert Cloak,おんみつマント
1886,Loaded Dice,いかさまダイス
1887,,
1888,Baguette,バゲット
1889,Mayonnaise,マヨネーズ
1890,Ketchup,ケチャップ
1891,Mustard,マスタード
1892,Butter,バター
1893,Peanut Butter,ピーナッツバター
1894,Chili Sauce,チリソース
1895,Salt,ソルト
1896,Pepper,ペッパー
1897,Yogurt,ヨーグルト
1898,Whipped Cream,ホイップクリーム
1899,Cream Cheese,クリームチーズ
1900,Jam,ベリージャム
1901,Marmalade,マーマレード
1902,Olive Oil,オリーブオイル
1903,Vinegar,ビネガー
1904,Sweet Herba Mystica,ひでん：あまスパイス
1905,Salty Herba Mystica,ひでん：しおスパイス
1906,Sour Herba Mystica,ひでん：すぱスパイス
1907,Bitter Herba Mystica,ひでん：にがスパイス
1908,Spicy Herba Mystica,ひでん：からスパイス
1909,Lettuce,レタス
1910,Tomato,トマトスライス
1911,Cherry Tomatoes,カットミニトマト
1912,Cucumber,キュウリスライス
1913,Pickle,ピクルススライス
1914,Onion,たまねぎスライス
1915,Red Onion,アーリーレッド
1916,Green Bell Pepper,ピーマンスライス
1917,Red Bell Pepper,あかパプリカスライス
1918,Yellow Bell Pepper,きパプリカスライス
1919,Avocado,アボカド
1920,Bacon,やきベーコン
1921,Ham,ハムスライス
1922,Prosciutto,なまハム
1923,Chorizo,やきチョリソー
1924,Herbed Sausage,ハーブソーセージ
1925,Hamburger,ハンバーグ
1926,Klawf Stick,ガケガニスティック
1927,Smoked Fillet,スモークきりみ
1928,Fried Fillet,きりみフライ
1929,Egg,スライスエッグ
1930,Potato Tortilla,トルティージャ
1931,Tofu,トーフ
1932,Rice,ライス
1933,Noodles,ヌードル
1934,Potato Salad,ポテトサラダ
1935,Cheese,スライスチーズ
1936,Banana,バナナスライス
1937,Strawberry,いちごスライス
1938,Apple,わぎりリンゴ
1939,Kiwi,わぎりキウイ
1940,Pineapple,カットパイン
1941,Jalapeño,ハラペーニョ
1942,Horseradish,ホースラディッシュ
1943,Curry Powder,カレーパウダー
1944,Wasabi,ワサビソース
1945,Watercress,クレソン
1946,Basil,バジル
1947,,
1948,,
1949,,
1950,,
1951,,
1952,,
1953,,
1954,,
1955,,
1956,Venonat Fang,コンパンのキバ
1957,Diglett Dirt,ディグダのつち
1958,Meowth Fur,ニャースのけ
1959,Psyduck Down,コダックのうもう
1960,Mankey Fur,マンキーのけ
1961,Growlithe Fur,ガーディのけ
1962,Slowpoke Claw,ヤドンのツメ
1963,Magnemite Screw,コイルのねじ
1964,Grimer Toxin,ベトベターのどくそ
1965,Shellder Pearl,シェルダーのしんじゅ
1966,Gastly Gas,ゴースのガス
1967,Drowzee Fur,スリープのけ
1968,Voltorb Sparks,ビリリダマのでんき
1969,Scyther Claw,ストライクのツメ
1970,Tauros Hair,ケンタロスのけ
1971,Magikarp Scales,コイキングのウロコ
1972,Ditto Goo,メタモンのべたべた
1973,Eevee Fur,イーブイのけ
1974,Dratini Scales,ミニリュウのウロコ
1975,Pichu Fur,ピチューのけ
1976,Igglybuff Fluff,ププリンのけ
1977,Mareep Wool,メリープのけだま
1978,Hoppip Leaf,ハネッコのはっぱ
1979,Sunkern Leaf,ヒマナッツのはっぱ
1980,Murkrow Bauble,ヤミカラスのおたから
1981,Misdreavus Tears,ムウマのなみだ
1982,Girafarig Fur,キリンリキのけ
1983,Pineco Husk,クヌギダマのから
1984,Dunsparce Scales,ノコッチのウロコ
1985,Qwilfish Spines,ハリーセンのトゲ
1986,Heracross Claw,ヘラクロスのツメ
1987,Sneasel Claw,ニューラのツメ
1988,Teddiursa Claw,ヒメグマのツメ
1989,Delibird Parcel,デリバードのにもつ
1990,Houndour Fang,デルビルのキバ
1991,Phanpy Nail,ゴマゾウのツメ
1992,Stantler Hair,オドシシのけ
1993,Larvitar Claw,ヨーギラスのツメ
1994,Wingull Feather,キャモメのはね
1995,Ralts Dust,ラルトスのおとしもの
1996,Surskit Syrup,アメタマのミツ
1997,Shroomish Spores,キノココのほうし
1998,Slakoth Fur,ナマケロのけ
1999,Makuhita Sweat,マクノシタのあせ
2000,Azurill Fur,ルリリのけ
2001,Sableye Gem,ヤミラミのほうせき
2002,Meditite Sweat,アサナンのあせ
2003,Gulpin Mucus,ゴクリンのねんえき
2004,Numel Lava,ドンメルのようがん
2005,Torkoal Coal,コータスのせきたん
2006,Spoink Pearl,バネブーのしんじゅ
2007,Cacnea Needle,サボネアのトゲ
2008,Swablu Fluff,チルットのはね
2009,Zangoose Claw,ザングースのツメ
2010,Seviper Fang,ハブネークのキバ
2011,Barboach Slime,ドジョッチのねんえき
2012,Shuppet Scrap,カゲボウズのきれはし
2013,Tropius Leaf,トロピウスのはっぱ
2014,Snorunt Fur,ユキワラシのけ
2015,Luvdisc Scales,ラブカスのウロコ
2016,Bagon Scales,タツベイのウロコ
2017,Starly Feather,ムックルのはね
2018,Kricketot Shell,コロボーシのぬけがら
2019,Shinx Fang,コリンクのキバ
2020,Combee Honey,ミツハニーのミツ
2021,Pachirisu Fur,パチリスのけ
2022,Buizel Fur,ブイゼルのけ
2023,Shellos Mucus,カラナクシのねんえき
2024,Drifloon Gas,フワンテのガス
2025,Stunky Fur,スカンプーのけ
2026,Bronzor Fragment,ドーミラーのかけら
2027,Bonsly Tears,ウソハチのなみだ
2028,Happiny Dust,ピンプクのおとしもの
2029,Spiritomb Fragment,ミカルゲのかけら
2030,Gible Scales,フカマルのウロコ
2031,Riolu Fur,リオルのけ
2032,Hippopotas Sand,ヒポポタスのすな
2033,Croagunk Poison,グレッグルのどくそ
2034,Finneon Scales,ケイコウオのウロコ
2035,Snover Berries,ユキカブリのみ
2036,Rotom Sparks,ロトムのでんき
2037,Petilil Leaf,チュリネのはっぱ
2038,Basculin Fang,バスラオのキバ
2039,Sandile Claw,メグロコのツメ
2040,Zorua Fur,ゾロアのけ
2041,Gothita Eyelash,ゴチムのまつげ
2042,Deerling Hair,シキジカのけ
2043,Foongus Spores,タマゲタケのほうし
2044,Alomomola Mucus,ママンボウのねんえき
2045,Tynamo Slime,シビシラスのねんえき
2046,Axew Scales,キバゴのウロコ
2047,Cubchoo Fur,クマシュンのけ
2048,Cryogonal Ice,フリージオのこおり
2049,Pawniard Blade,コマタナのやいば
2050,Rufflet Feather,ワシボンのはね
2051,Deino Scales,モノズのウロコ
2052,Larvesta Fuzz,メラルバのけ
2053,Fletchling Feather,ヤヤコマのはね
2054,Scatterbug Powder,コフキムシのこな
2055,Litleo Tuft,シシコのたてがみ
2056,Flabébé Pollen,フラベベのかふん
2057,Skiddo Leaf,メェークルのはっぱ
2058,Skrelp Kelp,クズモーのもくず
2059,Clauncher Claw,ウデッポウのハサミ
2060,Hawlucha Down,ルチャブルのうもう
2061,Dedenne Fur,デデンネのけ
2062,Goomy Goo,ヌメラのねんえき
2063,Klefki Key,クレッフィのかぎ
2064,Bergmite Ice,カチコールのこおり
2065,Noibat Fur,オンバットのけ
2066,Yungoos Fur,ヤングースのけ
2067,Crabrawler Shell,マケンカニのから
2068,Oricorio Feather,オドリドリのはね
2069,Rockruff Rock,イワンコのいわ
2070,Mareanie Spike,ヒドイデのトゲ
2071,Mudbray Mud,ドロバンコのどろ
2072,Fomantis Leaf,カリキリのはっぱ
2073,Salandit Gas,ヤトウモリのガス
2074,Bounsweet Sweat,アマカジのあせ
2075,Oranguru Fur,ヤレユータンのけ
2076,Passimian Fur,ナゲツケサルのけ
2077,Sandygast Sand,スナバァのすな
2078,Komala Claw,ネッコアラのツメ
2079,Mimikyu Scrap,ミミッキュのきれはし
2080,Bruxish Tooth,ハギギシリのは
2081,Chewtle Claw,カムカメのツメ
2082,Skwovet Fur,ホシガリスのけ
2083,Arrokuda Scales,サシカマスのウロコ
2084,Rookidee Feather,ココガラのはね
2085,Toxel Sparks,エレズンのでんき
2086,Falinks Sweat,タイレーツのあせ
2087,Cufant Tarnish,ゾウドウのさび
2088,Rolycoly Coal,タンドンのせきたん
2089,Silicobra Sand,スナヘビのすな
2090,Indeedee Fur,イエッサンのけ
2091,Pincurchin Spines,バチンウニのはり
2092,Snom Thread,ユキハミのいと
2093,Impidimp Hair,ベロバーのけ
2094,Applin Juice,カジッチュのかじゅう
2095,Sinistea Chip,ヤバチャのかけら
2096,Hatenna Dust,ミブリムのおとしもの
2097,Stonjourner Stone,イシヘンジンのいわ
2098,Eiscue Down,コオリッポのうもう
2099,Dreepy Powder,ドラメシヤのこな
2100,,
2101,,
2102,,
2103,Lechonk Hair,グルトンのけ
2104,Tarountula Thread,タマンチュラのいと
2105,Nymble Claw,マメバッタのツメ
2106,Rellor Mud,シガロコのどろ
2107,Greavard Wax,ボチのろう
2108,Flittle Down,ヒラヒナのうもう
2109,Wiglett Sand,ウミディグダのすな
2110,Dondozo Whisker,ヘイラッシャのヒゲ
2111,Veluza Fillet,ミガルーサのきりみ
2112,Finizen Mucus,ナミイルカのねんえき
2113,Smoliv Oil,ミニーブのオイル
2114,Capsakid Seed,カプサイジのたね
2115,Tadbulb Mucus,ズピカのねんえき
2116,Varoom Fume,ブロロンのガス
2117,Orthworm Tarnish,ミミズズのさび
2118,Tandemaus Fur,ワッカネズミのけ
2119,Cetoddle Grease,アルクジラのあぶら
2120,Frigibax Scales,セビエのウロコ
2121,Tatsugiri Scales,シャリタツのウロコ
2122,Cyclizar Scales,モトトカゲのウロコ
2123,Pawmi Fur,パモのけ
2124,,
2125,,
2126,Wattrel Feather,カイデンのはね
2127,Bombirdier Feather,オトシドリのはね
2128,Squawkabilly Feather,イキリンコのはね
2129,Flamigo Down,カラミンゴのうもう
2130,Klawf Claw,ガケガニのハサミ
2131,Nacli Salt,コジオのしお
2132,Glimmet Crystal,キラーメのけっしょう
2133,Shroodle Ink,シルシュルーのインク
2134,Fidough Fur,パピモッチのけ
2135,Maschiff Fang,オラチフのキバ
2136,Bramblin Twig,アノクサのえだ
2137,Gimmighoul Coin,コレクレーのコイン
2138,,
2139,,
2140,,
2141,,
2142,,
2143,,
2144,,
2145,,
2146,,
2147,,
2148,,
2149,,
2150,,
2151,,
2152,,
2153,,
2154,,
2155,,
2156,Tinkatink Hair,カヌチャンのけ
2157,Charcadet Soot,カルボウのすす
2158,Toedscool Flaps,ノノクラゲのヒラヒラ
2159,Wooper Slime,ウパーのねんえき
2160,TM100,わざマシン１００
2161,TM101,わざマシン１０１
2162,TM102,わざマシン１０２
2163,TM103,わざマシン１０３
2164,TM104,わざマシン１０４
2165,TM105,わざマシン１０５
2166,TM106,わざマシン１０６
2167,TM107,わざマシン１０７
2168,TM108,わざマシン１０８
2169,TM109,わざマシン１０９
2170,TM110,わざマシン１１０
2171,TM111,わざマシン１１１
2172,TM112,わざマシン１１２
2173,TM113,わざマシン１１３
2174,TM114,わざマシン１１４
2175,TM115,わざマシン１１５
2176,TM116,わざマシン１１６
2177,TM117,わざマシン１１７
2178,TM118,わざマシン１１８
2179,TM119,わざマシン１１９
2180,TM120,わざマシン１２０
2181,TM121,わざマシン１２１
2182,TM122,わざマシン１２２
2183,TM123,わざマシン１２３
2184,TM124,わざマシン１２４
2185,TM125,わざマシン１２５
2186,TM126,わざマシン１２６
2187,TM127,わざマシン１２７
2188,TM128,わざマシン１２８
2189,TM129,わざマシン１２９
2190,TM130,わざマシン１３０
2191,TM131,わざマシン１３１
2192,TM132,わざマシン１３２
2193,TM133,わざマシン１３３
2194,TM134,わざマシン１３４
2195,TM135,わざマシン１３５
2196,TM136,わざマシン１３６
2197,TM137,わざマシン１３７
2198,TM138,わざマシン１３８
2199,TM139,わざマシン１３９
2200,TM140,わざマシン１４０
2201,TM141,わざマシン１４１
2202,TM142,わざマシン１４２
2203,TM143,わざマシン１４３
2204,TM144,わざマシン１４４
2205,TM145,わざマシン１４５
2206,TM146,わざマシン１４６
2207,TM147,わざマシン１４７
2208,TM148,わざマシン１４８
2209,TM149,わざマシン１４９
2210,TM150,わざマシン１５０
2211,TM151,わざマシン１５１
2212,TM152,わざマシン１５２
2213,TM153,わざマシン１５３
2214,TM154,わざマシン１５４
2215,TM155,わざマシン１５５
2216,TM156,わざマシン１５６
2217,TM157,わざマシン１５７
2218,TM158,わざマシン１５８
2219,TM159,わざマシン１５９
2220,TM160,わざマシン１６０
2221,TM161,わざマシン１６１
2222,TM162,わざマシン１６２
2223,TM163,わざマシン１６３
2224,TM164,わざマシン１６４
2225,TM165,わざマシン１６５
2226,TM166,わざマシン１６６
2227,TM167,わざマシン１６７
2228,TM168,わざマシン１６８
2229,TM169,わざマシン１６９
2230,TM170,わざマシン１７０
2231,TM171,わざマシン１７１
2232,TM172,わざマシン１７２
2233,TM173,わざマシン１７３
2234,TM174,わざマシン１７４
2235,TM175,わざマシン１７５
2236,TM176,わざマシン１７６
2237,TM177,わざマシン１７７
2238,TM178,わざマシン１７８
2239,TM179,わざマシン１７９
2240,TM180,わざマシン１８０
2241,TM181,わざマシン１８１
2242,TM182,わざマシン１８２
2243,TM183,わざマシン１８３
2244,TM184,わざマシン１８４
2245,TM185,わざマシン１８５
2246,TM186,わざマシン１８６
2247,TM187,わざマシン１８７
2248,TM188,わざマシン１８８
2249,TM189,わざマシン１８９
2250,TM190,わざマシン１９０
2251,TM191,わざマシン１９１
2252,TM192,わざマシン１９２
2253,TM193,わざマシン１９３
2254,TM194,わざマシン１９４
2255,TM195,わざマシン１９５
2256,TM196,わざマシン１９６
2257,TM197,わざマシン１９７
2258,TM198,わざマシン１９８
2259,TM199,わざマシン１９９
2260,TM200,わざマシン２００
2261,TM201,わざマシン２０１
2262,TM202,わざマシン２０２
2263,TM203,わざマシン２０３
2264,TM204,わざマシン２０４
2265,TM205,わざマシン２０５
2266,TM206,わざマシン２０６
2267,TM207,わざマシン２０７
2268,TM208,わざマシン２０８
2269,TM209,わざマシン２０９
2270,TM210,わざマシン２１０
2271,TM211,わざマシン２１１
2272,TM212,わざマシン２１２
2273,TM213,わざマシン２１３
2274,TM214,わざマシン２１４
2275,TM215,わざマシン２１５
2276,TM216,わざマシン２１６
2277,TM217,わざマシン２１７
2278,TM218,わざマシン２１８
2279,TM219,わざマシン２１９
2280,TM220,わざマシン２２０
2281,TM221,わざマシン２２１
2282,TM222,わざマシン２２２
2283,TM223,わざマシン２２３
2284,TM224,わざマシン２２４
2285,TM225,わざマシン２２５
2286,TM226,わざマシン２２６
2287,TM227,わざマシン２２７
2288,TM228,わざマシン２２８
2289,TM229,わざマシン２２９
2290,,
2291,,
2292,,
2293,,
2294,,
2295,,
2296,,
2297,,
2298,,
2299,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2308,,
2309,,
2310,,
2311,Picnic Set,ピクニックセット
2312,,
2313,Academy Bottle,スクールボトル
2314,Academy Bottle,スクールボトル
2315,Polka-Dot Bottle,みずたまボトル
2316,Striped Bottle,ストライプボトル
2317,Diamond Bottle,ダイヤボトル
2318,Academy Cup,スクールカップ
2319,Academy Cup,スクールカップ
2320,Striped Cup,たてストライプカップ
2321,Polka-Dot Cup,みずたまカップ
2322,Flower Pattern Cup,フラワーカップ
2323,Academy Tablecloth,スクールクロス
2324,Academy Tablecloth,スクールクロス
2325,Whimsical Tablecloth,ファンシークロス
2326,Leafy Tablecloth,ネイチャークロス
2327,Spooky Tablecloth,うらめしクロス
2328,,
2329,Academy Ball,スクールボール
2330,Academy Ball,スクールボール
2331,Marill Ball,マリルボール
2332,Yarn Ball,けいとボール
2333,Cyber Ball,ゲーミングボール
2334,Gold Pick,ゴールドピック
2335,Silver Pick,シルバーピック
2336,Red-Flag Pick,あかいはたピック
2337,Blue-Flag Pick,あおいはたピック
2338,Pika-Pika Pick,ピカピカピック
2339,Winking Pika Pick,パチピカピック
2340,Vee-Vee Pick,ブイブイピック
2341,Smiling Vee Pick,ニコブイピック
2342,Blue Poké Ball Pick,あおボールピック
2343,,
2344,Auspicious Armor,イワイノヨロイ
2345,Leader’s Crest,かしらのしるし
2346,,
2347,,
2348,Pink Bottle,ピンクボトル
2349,Blue Bottle,ブルーボトル
2350,Yellow Bottle,イエローボトル
2351,Steel Bottle (R),Rステンレスボトル
2352,Steel Bottle (Y),Yステンレスボトル
2353,Steel Bottle (B),Bステンレスボトル
2354,Silver Bottle,シルバーチタンボトル
2355,Barred Cup,よこストライプカップ
2356,Diamond Pattern Cup,ダイヤカップ
2357,Fire Pattern Cup,ファイヤーカップ
2358,Pink Cup,ピンクカップ
2359,Blue Cup,ブルーカップ
2360,Yellow Cup,イエローカップ
2361,Pikachu Cup,ピカチュウカップ
2362,Eevee Cup,イーブイカップ
2363,Slowpoke Cup,ヤドンカップ
2364,Silver Cup,シルバーチタンカップ
2365,Exercise Ball,バランスボール
2366,Plaid Tablecloth (Y),きいろチェッククロス
2367,Plaid Tablecloth (B),あおチェッククロス
2368,Plaid Tablecloth (R),あかチェッククロス
2369,B&W Grass Tablecloth,くさむらモノクロス
2370,Battle Tablecloth,しょうぶクロス
2371,Monstrous Tablecloth,かいじゅうクロス
2372,Striped Tablecloth,ストライプクロス
2373,Diamond Tablecloth,ダイヤクロス
2374,Polka-Dot Tablecloth,みずたまクロス
2375,Lilac Tablecloth,パープルクロス
2376,Mint Tablecloth,ミントクロス
2377,Peach Tablecloth,ベージュクロス
2378,Yellow Tablecloth,イエロークロス
2379,Blue Tablecloth,ブルークロス
2380,Pink Tablecloth,ピンククロス
2381,Gold Bottle,ゴールドチタンボトル
2382,Bronze Bottle,ブロンズチタンボトル
2383,Gold Cup,ゴールドチタンカップ
2384,Bronze Cup,ブロンズチタンカップ
2385,Green Poké Ball Pick,みどりボールピック
2386,Red Poké Ball Pick,あかボールピック
2387,Party Sparkler Pick,おいわいはなびピック
2388,Heroic Sword Pick,ゆうしゃのけんピック
2389,Magical Star Pick,マジカルスターピック
2390,Magical Heart Pick,マジカルハートピック
2391,Parasol Pick,パラソルピック
2392,Blue-Sky Flower Pick,あおぞらおはなピック
2393,Sunset Flower Pick,ゆうやけおはなピック
2394,Sunrise Flower Pick,あさやけおはなピック
2395,Blue Dish,ブループレート
2396,Green Dish,グリーンプレート
2397,Orange Dish,オレンジプレート
2398,Red Dish,レッドプレート
2399,White Dish,ホワイトプレート
2400,Yellow Dish,イエロープレート
2401,Fairy Feather,ようせいのハネ
2402,Syrupy Apple,みついりりんご
2403,Unremarkable Teacup,ボンサクのちゃわん
2404,Masterpiece Teacup,ケッサクのちゃわん
2405,Teal Mask,みどりのめん
2406,Cornerstone Mask,いしずえのめん
2407,Wellspring Mask,いどのめん
2408,Hearthflame Mask,かまどのめん
2409,Teal Style Card,おしゃれカードみどり
2410,Crystal Cluster,けっしょうのかけら
2411,Health Mochi,たいりょくのもち
2412,Muscle Mochi,きんりょくのもち
2413,Resist Mochi,ていこうのもち
2414,Genius Mochi,ちりょくのもち
2415,Clever Mochi,せいしんのもち
